variant_id,day,k_micro,k_imbalance,threshold,engine,final_pnl_total,own_trade_count,traded_qty,return_code
micro_k1p25_imb0p75_thr0,0,1.25,0.75,0.0,fallback,95.0,117,720,0
micro_k1p25_imb0p75_thr0,1,1.25,0.75,0.0,fallback,3061.0,135,876,0
micro_k1p25_imb0p75_thr0,2,1.25,0.75,0.0,fallback,637.0,145,928,0
micro_k1p25_imb0p75_thr0p25,0,1.25,0.75,0.25,fallback,18.0,1,1,0
micro_k1p25_imb0p75_thr0p25,1,1.25,0.75,0.25,fallback,0.0,0,0,0
micro_k1p25_imb0p75_thr0p25,2,1.25,0.75,0.25,fallback,0.0,0,0,0
micro_k1p25_imb0p75_thr0p5,0,1.25,0.75,0.5,fallback,0.0,0,0,0
micro_k1p25_imb0p75_thr0p5,1,1.25,0.75,0.5,fallback,0.0,0,0,0
micro_k1p25_imb0p75_thr0p5,2,1.25,0.75,0.5,fallback,0.0,0,0,0
micro_k1p25_imb1_thr0,0,1.25,1.0,0.0,fallback,410.0,147,968,0
micro_k1p25_imb1_thr0,1,1.25,1.0,0.0,fallback,4768.0,149,988,0
micro_k1p25_imb1_thr0,2,1.25,1.0,0.0,fallback,4727.5,176,1179,0
micro_k1p25_imb1_thr0p25,0,1.25,1.0,0.25,fallback,18.0,1,1,0
micro_k1p25_imb1_thr0p25,1,1.25,1.0,0.25,fallback,0.0,0,0,0
micro_k1p25_imb1_thr0p25,2,1.25,1.0,0.25,fallback,0.0,0,0,0
micro_k1p25_imb1_thr0p5,0,1.25,1.0,0.5,fallback,0.0,0,0,0
micro_k1p25_imb1_thr0p5,1,1.25,1.0,0.5,fallback,0.0,0,0,0
micro_k1p25_imb1_thr0p5,2,1.25,1.0,0.5,fallback,0.0,0,0,0
micro_k1p25_imb1p25_thr0,0,1.25,1.25,0.0,fallback,712.0,166,1140,0
micro_k1p25_imb1p25_thr0,1,1.25,1.25,0.0,fallback,4166.5,172,1173,0
micro_k1p25_imb1p25_thr0,2,1.25,1.25,0.0,fallback,6111.5,205,1431,0
micro_k1p25_imb1p25_thr0p25,0,1.25,1.25,0.25,fallback,18.0,1,1,0
micro_k1p25_imb1p25_thr0p25,1,1.25,1.25,0.25,fallback,0.0,0,0,0
micro_k1p25_imb1p25_thr0p25,2,1.25,1.25,0.25,fallback,0.0,0,0,0
micro_k1p25_imb1p25_thr0p5,0,1.25,1.25,0.5,fallback,0.0,0,0,0
micro_k1p25_imb1p25_thr0p5,1,1.25,1.25,0.5,fallback,0.0,0,0,0
micro_k1p25_imb1p25_thr0p5,2,1.25,1.25,0.5,fallback,0.0,0,0,0
micro_k1p5_imb0p75_thr0,0,1.5,0.75,0.0,fallback,-1350.0,318,2633,0
micro_k1p5_imb0p75_thr0,1,1.5,0.75,0.0,fallback,957.5,322,2663,0
micro_k1p5_imb0p75_thr0,2,1.5,0.75,0.0,fallback,-5426.5,355,2945,0
micro_k1p5_imb0p75_thr0p25,0,1.5,0.75,0.25,fallback,601.0,103,630,0
micro_k1p5_imb0p75_thr0p25,1,1.5,0.75,0.25,fallback,-3769.0,120,768,0
micro_k1p5_imb0p75_thr0p25,2,1.5,0.75,0.25,fallback,-6796.0,107,680,0
micro_k1p5_imb0p75_thr0p5,0,1.5,0.75,0.5,fallback,237.0,5,15,0
micro_k1p5_imb0p75_thr0p5,1,1.5,0.75,0.5,fallback,-276.0,3,14,0
micro_k1p5_imb0p75_thr0p5,2,1.5,0.75,0.5,fallback,-1218.5,7,35,0
micro_k1p5_imb1_thr0,0,1.5,1.0,0.0,fallback,-1342.0,332,2807,0
micro_k1p5_imb1_thr0,1,1.5,1.0,0.0,fallback,2234.5,334,2783,0
micro_k1p5_imb1_thr0,2,1.5,1.0,0.0,fallback,-4688.0,362,3042,0
micro_k1p5_imb1_thr0p25,0,1.5,1.0,0.25,fallback,3.0,114,723,0
micro_k1p5_imb1_thr0p25,1,1.5,1.0,0.25,fallback,-4508.0,137,898,0
micro_k1p5_imb1_thr0p25,2,1.5,1.0,0.25,fallback,-6892.0,128,826,0
micro_k1p5_imb1_thr0p5,0,1.5,1.0,0.5,fallback,159.0,6,21,0
micro_k1p5_imb1_thr0p5,1,1.5,1.0,0.5,fallback,-309.0,4,20,0
micro_k1p5_imb1_thr0p5,2,1.5,1.0,0.5,fallback,-1206.0,8,40,0
micro_k1p5_imb1p25_thr0,0,1.5,1.25,0.0,fallback,-1309.0,339,2890,0
micro_k1p5_imb1p25_thr0,1,1.5,1.25,0.0,fallback,1984.0,343,2894,0
micro_k1p5_imb1p25_thr0,2,1.5,1.25,0.0,fallback,-4834.0,372,3160,0
micro_k1p5_imb1p25_thr0p25,0,1.5,1.25,0.25,fallback,-258.0,128,823,0
micro_k1p5_imb1p25_thr0p25,1,1.5,1.25,0.25,fallback,-3504.0,153,1032,0
micro_k1p5_imb1p25_thr0p25,2,1.5,1.25,0.25,fallback,-6520.0,146,958,0
micro_k1p5_imb1p25_thr0p5,0,1.5,1.25,0.5,fallback,278.0,7,28,0
micro_k1p5_imb1p25_thr0p5,1,1.5,1.25,0.5,fallback,-366.0,5,26,0
micro_k1p5_imb1p25_thr0p5,2,1.5,1.25,0.5,fallback,-1895.0,11,60,0
micro_k1p75_imb0p75_thr0,0,1.75,0.75,0.0,fallback,-24277.0,1001,12812,0
micro_k1p75_imb0p75_thr0,1,1.75,0.75,0.0,fallback,-24265.5,995,12595,0
micro_k1p75_imb0p75_thr0,2,1.75,0.75,0.0,fallback,-24595.5,994,12439,0
micro_k1p75_imb0p75_thr0p25,0,1.75,0.75,0.25,fallback,-1745.0,287,2308,0
micro_k1p75_imb0p75_thr0p25,1,1.75,0.75,0.25,fallback,-345.0,301,2428,0
micro_k1p75_imb0p75_thr0p25,2,1.75,0.75,0.25,fallback,-5794.5,321,2541,0
micro_k1p75_imb0p75_thr0p5,0,1.75,0.75,0.5,fallback,-1077.0,83,520,0
micro_k1p75_imb0p75_thr0p5,1,1.75,0.75,0.5,fallback,-3906.0,87,558,0
micro_k1p75_imb0p75_thr0p5,2,1.75,0.75,0.5,fallback,-5917.0,96,628,0
micro_k1p75_imb1_thr0,0,1.75,1.0,0.0,fallback,-24430.0,1008,12880,0
micro_k1p75_imb1_thr0,1,1.75,1.0,0.0,fallback,-24140.5,998,12605,0
micro_k1p75_imb1_thr0,2,1.75,1.0,0.0,fallback,-25001.5,1002,12507,0
micro_k1p75_imb1_thr0p25,0,1.75,1.0,0.25,fallback,-1702.0,294,2375,0
micro_k1p75_imb1_thr0p25,1,1.75,1.0,0.25,fallback,-466.5,311,2539,0
micro_k1p75_imb1_thr0p25,2,1.75,1.0,0.25,fallback,-5932.5,325,2597,0
micro_k1p75_imb1_thr0p5,0,1.75,1.0,0.5,fallback,-1243.0,92,586,0
micro_k1p75_imb1_thr0p5,1,1.75,1.0,0.5,fallback,-3723.0,99,646,0
micro_k1p75_imb1_thr0p5,2,1.75,1.0,0.5,fallback,-6035.0,103,666,0
micro_k1p75_imb1p25_thr0,0,1.75,1.25,0.0,fallback,-24515.0,1016,12928,0
micro_k1p75_imb1p25_thr0,1,1.75,1.25,0.0,fallback,-24257.0,1001,12626,0
micro_k1p75_imb1p25_thr0,2,1.75,1.25,0.0,fallback,-25651.5,1009,12551,0
micro_k1p75_imb1p25_thr0p25,0,1.75,1.25,0.25,fallback,-2903.0,296,2399,0
micro_k1p75_imb1p25_thr0p25,1,1.75,1.25,0.25,fallback,-581.0,316,2598,0
micro_k1p75_imb1p25_thr0p25,2,1.75,1.25,0.25,fallback,-6752.0,342,2782,0
micro_k1p75_imb1p25_thr0p5,0,1.75,1.25,0.5,fallback,-2126.0,110,707,0
micro_k1p75_imb1p25_thr0p5,1,1.75,1.25,0.5,fallback,-3738.0,105,680,0
micro_k1p75_imb1p25_thr0p5,2,1.75,1.25,0.5,fallback,-5917.0,109,716,0
