variant_id,product,fallback_pnl,fallback_trade_count,fallback_traded_qty,fallback_final_position,day,k_micro,k_imbalance,threshold
micro_k1p25_imb0p75_thr0,HYDROGEL_PACK,0.0,0,0,0,0,1.25,0.75,0.0
micro_k1p25_imb0p75_thr0,VELVETFRUIT_EXTRACT,95.0,117,720,34,0,1.25,0.75,0.0
micro_k1p25_imb0p75_thr0,HYDROGEL_PACK,0.0,0,0,0,1,1.25,0.75,0.0
micro_k1p25_imb0p75_thr0,VELVETFRUIT_EXTRACT,3061.0,135,876,118,1,1.25,0.75,0.0
micro_k1p25_imb0p75_thr0,HYDROGEL_PACK,0.0,0,0,0,2,1.25,0.75,0.0
micro_k1p25_imb0p75_thr0,VELVETFRUIT_EXTRACT,637.0,145,928,16,2,1.25,0.75,0.0
micro_k1p25_imb0p75_thr0p25,HYDROGEL_PACK,0.0,0,0,0,0,1.25,0.75,0.25
micro_k1p25_imb0p75_thr0p25,VELVETFRUIT_EXTRACT,18.0,1,1,-1,0,1.25,0.75,0.25
micro_k1p25_imb0p75_thr0p25,HYDROGEL_PACK,0.0,0,0,0,1,1.25,0.75,0.25
micro_k1p25_imb0p75_thr0p25,VELVETFRUIT_EXTRACT,0.0,0,0,0,1,1.25,0.75,0.25
micro_k1p25_imb0p75_thr0p25,HYDROGEL_PACK,0.0,0,0,0,2,1.25,0.75,0.25
micro_k1p25_imb0p75_thr0p25,VELVETFRUIT_EXTRACT,0.0,0,0,0,2,1.25,0.75,0.25
micro_k1p25_imb0p75_thr0p5,HYDROGEL_PACK,0.0,0,0,0,0,1.25,0.75,0.5
micro_k1p25_imb0p75_thr0p5,VELVETFRUIT_EXTRACT,0.0,0,0,0,0,1.25,0.75,0.5
micro_k1p25_imb0p75_thr0p5,HYDROGEL_PACK,0.0,0,0,0,1,1.25,0.75,0.5
micro_k1p25_imb0p75_thr0p5,VELVETFRUIT_EXTRACT,0.0,0,0,0,1,1.25,0.75,0.5
micro_k1p25_imb0p75_thr0p5,HYDROGEL_PACK,0.0,0,0,0,2,1.25,0.75,0.5
micro_k1p25_imb0p75_thr0p5,VELVETFRUIT_EXTRACT,0.0,0,0,0,2,1.25,0.75,0.5
micro_k1p25_imb1_thr0,HYDROGEL_PACK,0.0,0,0,0,0,1.25,1.0,0.0
micro_k1p25_imb1_thr0,VELVETFRUIT_EXTRACT,410.0,147,968,134,0,1.25,1.0,0.0
