variant_id,day,k_micro,k_imbalance,threshold,engine,final_pnl_total,own_trade_count,traded_qty,return_code,tick_count
micro_k1p25_imb0p75_thr0,0,1.25,0.75,0.0,rust,669.0,229,,0,10000
micro_k1p25_imb0p75_thr0,1,1.25,0.75,0.0,rust,1848.0,249,,0,10000
micro_k1p25_imb0p75_thr0,2,1.25,0.75,0.0,rust,512.5,267,,0,10000
micro_k1p25_imb0p75_thr0p25,0,1.25,0.75,0.25,rust,828.0,113,,0,10000
micro_k1p25_imb0p75_thr0p25,1,1.25,0.75,0.25,rust,-772.0,113,,0,10000
micro_k1p25_imb0p75_thr0p25,2,1.25,0.75,0.25,rust,717.0,121,,0,10000
micro_k1p25_imb0p75_thr0p5,0,1.25,0.75,0.5,rust,507.0,110,,0,10000
micro_k1p25_imb0p75_thr0p5,1,1.25,0.75,0.5,rust,-596.5,112,,0,10000
micro_k1p25_imb0p75_thr0p5,2,1.25,0.75,0.5,rust,802.0,121,,0,10000
micro_k1p25_imb1_thr0,0,1.25,1.0,0.0,rust,984.0,259,,0,10000
micro_k1p25_imb1_thr0,1,1.25,1.0,0.0,rust,1888.0,261,,0,10000
micro_k1p25_imb1_thr0,2,1.25,1.0,0.0,rust,4577.5,298,,0,10000
micro_k1p25_imb1_thr0p25,0,1.25,1.0,0.25,rust,828.0,113,,0,10000
micro_k1p25_imb1_thr0p25,1,1.25,1.0,0.25,rust,-772.0,113,,0,10000
micro_k1p25_imb1_thr0p25,2,1.25,1.0,0.25,rust,153.5,122,,0,10000
micro_k1p25_imb1_thr0p5,0,1.25,1.0,0.5,rust,563.0,111,,0,10000
micro_k1p25_imb1_thr0p5,1,1.25,1.0,0.5,rust,-596.5,112,,0,10000
micro_k1p25_imb1_thr0p5,2,1.25,1.0,0.5,rust,802.0,121,,0,10000
micro_k1p25_imb1p25_thr0,0,1.25,1.25,0.0,rust,1286.0,278,,0,10000
micro_k1p25_imb1p25_thr0,1,1.25,1.25,0.0,rust,2098.5,284,,0,10000
micro_k1p25_imb1p25_thr0,2,1.25,1.25,0.0,rust,4758.5,322,,0,10000
micro_k1p25_imb1p25_thr0p25,0,1.25,1.25,0.25,rust,828.0,113,,0,10000
micro_k1p25_imb1p25_thr0p25,1,1.25,1.25,0.25,rust,-772.0,113,,0,10000
micro_k1p25_imb1p25_thr0p25,2,1.25,1.25,0.25,rust,153.5,122,,0,10000
micro_k1p25_imb1p25_thr0p5,0,1.25,1.25,0.5,rust,563.0,111,,0,10000
micro_k1p25_imb1p25_thr0p5,1,1.25,1.25,0.5,rust,-596.5,112,,0,10000
micro_k1p25_imb1p25_thr0p5,2,1.25,1.25,0.5,rust,802.0,121,,0,10000
micro_k1p5_imb0p75_thr0,0,1.5,0.75,0.0,rust,-1946.0,416,,0,10000
micro_k1p5_imb0p75_thr0,1,1.5,0.75,0.0,rust,-401.0,437,,0,10000
micro_k1p5_imb0p75_thr0,2,1.5,0.75,0.0,rust,-5775.0,477,,0,10000
micro_k1p5_imb0p75_thr0p25,0,1.5,0.75,0.25,rust,403.0,199,,0,10000
micro_k1p5_imb0p75_thr0p25,1,1.5,0.75,0.25,rust,-4555.0,233,,0,10000
micro_k1p5_imb0p75_thr0p25,2,1.5,0.75,0.25,rust,-7621.0,237,,0,10000
micro_k1p5_imb0p75_thr0p5,0,1.5,0.75,0.5,rust,692.0,116,,0,10000
micro_k1p5_imb0p75_thr0p5,1,1.5,0.75,0.5,rust,-1072.5,115,,0,10000
micro_k1p5_imb0p75_thr0p5,2,1.5,0.75,0.5,rust,-584.5,128,,0,10000
micro_k1p5_imb1_thr0,0,1.5,1.0,0.0,rust,-2625.0,435,,0,10000
micro_k1p5_imb1_thr0,1,1.5,1.0,0.0,rust,905.0,448,,0,10000
micro_k1p5_imb1_thr0,2,1.5,1.0,0.0,rust,-5036.5,484,,0,10000
micro_k1p5_imb1_thr0p25,0,1.5,1.0,0.25,rust,-999.0,209,,0,10000
micro_k1p5_imb1_thr0p25,1,1.5,1.0,0.25,rust,-5287.0,249,,0,10000
micro_k1p5_imb1_thr0p25,2,1.5,1.0,0.25,rust,-7778.0,255,,0,10000
micro_k1p5_imb1_thr0p5,0,1.5,1.0,0.5,rust,614.0,117,,0,10000
micro_k1p5_imb1_thr0p5,1,1.5,1.0,0.5,rust,-1105.5,116,,0,10000
micro_k1p5_imb1_thr0p5,2,1.5,1.0,0.5,rust,-578.0,129,,0,10000
micro_k1p5_imb1p25_thr0,0,1.5,1.25,0.0,rust,-2146.0,440,,0,10000
micro_k1p5_imb1p25_thr0,1,1.5,1.25,0.0,rust,357.0,456,,0,10000
micro_k1p5_imb1p25_thr0,2,1.5,1.25,0.0,rust,-5182.5,494,,0,10000
micro_k1p5_imb1p25_thr0p25,0,1.5,1.25,0.25,rust,-1062.0,222,,0,10000
micro_k1p5_imb1p25_thr0p25,1,1.5,1.25,0.25,rust,-4283.0,267,,0,10000
micro_k1p5_imb1p25_thr0p25,2,1.5,1.25,0.25,rust,-7506.5,272,,0,10000
micro_k1p5_imb1p25_thr0p5,0,1.5,1.25,0.5,rust,725.0,118,,0,10000
micro_k1p5_imb1p25_thr0p5,1,1.5,1.25,0.5,rust,-1162.5,117,,0,10000
micro_k1p5_imb1p25_thr0p5,2,1.5,1.25,0.5,rust,-1267.0,132,,0,10000
micro_k1p75_imb0p75_thr0,0,1.75,0.75,0.0,rust,-22795.0,1111,,0,10000
