variant_id,engine,k_micro,k_imbalance,threshold,final_pnl_total,day_0_pnl,day_1_pnl,day_2_pnl,mean_day_pnl,std_day_pnl,min_day_pnl,positive_days,stability_score,mean_corr_signal_next_return,mean_hit_rate_triggered,mean_trigger_rate
micro_k1p25_imb1p25_thr0,rust,1.25,1.25,0.0,8143.0,1286.0,2098.5,4758.5,2714.3333333333335,1483.0154153690453,1286.0,3,1.830279918335203,0.26828287456796884,0.734935330789988,1.0
micro_k1p25_imb1_thr0,rust,1.25,1.0,0.0,7449.5,984.0,1888.0,4577.5,2483.1666666666665,1526.2105759764024,984.0,3,1.6270144538059033,0.2670797517793275,0.734935330789988,1.0
micro_k1p25_imb0p75_thr0,rust,1.25,0.75,0.0,3029.5,669.0,1848.0,512.5,1009.8333333333334,596.1071398852913,512.5,3,1.694046700272641,0.265849364314208,0.7349068990829483,1.0
micro_k1p25_imb0p75_thr0p25,rust,1.25,0.75,0.25,773.0,828.0,-772.0,717.0,257.6666666666667,729.493126919111,-772.0,2,0.3532132890059217,0.265849364314208,0.7335394001646252,0.3068166666666667
micro_k1p25_imb1_thr0p5,rust,1.25,1.0,0.5,768.5,563.0,-596.5,802.0,256.1666666666667,610.7703241717699,-596.5,2,0.4194157059179652,0.2670797517793275,0.7300565813705535,0.3018
micro_k1p25_imb1p25_thr0p5,rust,1.25,1.25,0.5,768.5,563.0,-596.5,802.0,256.1666666666667,610.7703241717699,-596.5,2,0.4194157059179652,0.26828287456796884,0.7303394039735099,0.30211666666666664
micro_k1p25_imb0p75_thr0p5,rust,1.25,0.75,0.5,712.5,507.0,-596.5,802.0,237.5,601.8988010178012,-596.5,2,0.39458460392012196,0.265849364314208,0.7297545331143047,0.30133333333333334
micro_k1p25_imb1_thr0p25,rust,1.25,1.0,0.25,209.5,828.0,-772.0,153.5,69.83333333333333,655.8709646128743,-772.0,2,0.10647419553699217,0.2670797517793275,0.7337009824654543,0.3071666666666667
micro_k1p25_imb1p25_thr0p25,rust,1.25,1.25,0.25,209.5,828.0,-772.0,153.5,69.83333333333333,655.8709646128743,-772.0,2,0.10647419553699217,0.26828287456796884,0.7340485128566577,0.30756666666666665
micro_k1p5_imb0p75_thr0p5,rust,1.5,0.75,0.5,-965.0,692.0,-1072.5,-584.5,-321.6666666666667,743.9426874579938,-1072.5,1,-0.4323809778483736,0.2652236462099114,0.7306436510260352,0.3028166666666667
micro_k1p5_imb1_thr0p5,rust,1.5,1.0,0.5,-1069.5,614.0,-1105.5,-578.0,-356.5,719.2434682822408,-1105.5,1,-0.4956596976138391,0.2662625817031743,0.7307485999051024,0.303
micro_k1p5_imb1p25_thr0p5,rust,1.5,1.25,0.5,-1704.5,725.0,-1162.5,-1267.0,-568.1666666666666,915.4015815780283,-1267.0,1,-0.6206747706144484,0.2672821400869767,0.7309142238024365,0.3033166666666667
