variant_id,day,rv_alpha,rv_weight,forecast_rho,min_vol_edge,min_price_edge,cost_buffer,exit_vol_edge,vega_clip_scale,moneyness_limit,max_option_clip,max_long_option_position,delta_hedge_threshold,hedge_interval_ticks,max_hedge_clip,gamma_hedge_sensitivity,gamma_hedge_min_threshold,final_pnl_total,own_trade_count,traded_qty,final_position_underlying,pnl_underlying,pnl_options
gamma_a0p015_w0p55_rho0_e0p015_pe0_c0p01_vs0_m1_clip4_pos120_dh20_hi300_hc60_gh0_gm8,0,0.015,0.55,0.0,0.015,0.0,0.01,0.005,0.0,1.0,4,120,20,300,60,0.0,8,-1948.0,192,918,-198,-1840.0,-108.0
gamma_a0p015_w0p55_rho0_e0p015_pe0_c0p01_vs0_m1_clip4_pos120_dh20_hi300_hc60_gh0_gm8,1,0.015,0.55,0.0,0.015,0.0,0.01,0.005,0.0,1.0,4,120,20,300,60,0.0,8,1396.0,191,912,-192,-4778.0,6174.0
gamma_a0p015_w0p55_rho0_e0p015_pe0_c0p01_vs0_m1_clip4_pos120_dh20_hi300_hc60_gh0_gm8,2,0.015,0.55,0.0,0.015,0.0,0.01,0.005,0.0,1.0,4,120,20,300,60,0.0,8,1601.5,191,915,-195,-4754.5,6356.0
gamma_a0p015_w0p55_rho0_e0p015_pe0_c0p01_vs0_m1_clip4_pos120_dh20_hi300_hc60_gh3_gm8,0,0.015,0.55,0.0,0.015,0.0,0.01,0.005,0.0,1.0,4,120,20,300,60,3.0,8,-1815.0,197,918,-198,-1707.0,-108.0
gamma_a0p015_w0p55_rho0_e0p015_pe0_c0p01_vs0_m1_clip4_pos120_dh20_hi300_hc60_gh3_gm8,1,0.015,0.55,0.0,0.015,0.0,0.01,0.005,0.0,1.0,4,120,20,300,60,3.0,8,1218.0,192,920,-200,-4956.0,6174.0
gamma_a0p015_w0p55_rho0_e0p015_pe0_c0p01_vs0_m1_clip4_pos120_dh20_hi300_hc60_gh3_gm8,2,0.015,0.55,0.0,0.015,0.0,0.01,0.005,0.0,1.0,4,120,20,300,60,3.0,8,1449.0,194,920,-200,-4907.0,6356.0
gamma_a0p015_w0p55_rho0_e0p015_pe0_c0p01_vs0_m1_clip8_pos120_dh20_hi300_hc60_gh0_gm8,0,0.015,0.55,0.0,0.015,0.0,0.01,0.005,0.0,1.0,8,120,20,300,60,0.0,8,-1816.0,107,908,-188,-1853.0,37.0
gamma_a0p015_w0p55_rho0_e0p015_pe0_c0p01_vs0_m1_clip8_pos120_dh20_hi300_hc60_gh0_gm8,1,0.015,0.55,0.0,0.015,0.0,0.01,0.005,0.0,1.0,8,120,20,300,60,0.0,8,992.0,108,920,-200,-4900.0,5892.0
gamma_a0p015_w0p55_rho0_e0p015_pe0_c0p01_vs0_m1_clip8_pos120_dh20_hi300_hc60_gh0_gm8,2,0.015,0.55,0.0,0.015,0.0,0.01,0.005,0.0,1.0,8,120,20,300,60,0.0,8,1429.0,98,920,-200,-4655.0,6084.0
gamma_a0p015_w0p55_rho0_e0p015_pe0_c0p01_vs0_m1_clip8_pos120_dh20_hi300_hc60_gh3_gm8,0,0.015,0.55,0.0,0.015,0.0,0.01,0.005,0.0,1.0,8,120,20,300,60,3.0,8,-2046.0,111,918,-198,-2083.0,37.0
gamma_a0p015_w0p55_rho0_e0p015_pe0_c0p01_vs0_m1_clip8_pos120_dh20_hi300_hc60_gh3_gm8,1,0.015,0.55,0.0,0.015,0.0,0.01,0.005,0.0,1.0,8,120,20,300,60,3.0,8,934.0,107,920,-200,-4958.0,5892.0
gamma_a0p015_w0p55_rho0_e0p015_pe0_c0p01_vs0_m1_clip8_pos120_dh20_hi300_hc60_gh3_gm8,2,0.015,0.55,0.0,0.015,0.0,0.01,0.005,0.0,1.0,8,120,20,300,60,3.0,8,1396.0,98,920,-200,-4688.0,6084.0
gamma_a0p015_w0p55_rho0_e0p015_pe0_c0p01_vs0_m1p25_clip4_pos120_dh20_hi300_hc60_gh0_gm8,0,0.015,0.55,0.0,0.015,0.0,0.01,0.005,0.0,1.25,4,120,20,300,60,0.0,8,-1948.0,192,918,-198,-1840.0,-108.0
gamma_a0p015_w0p55_rho0_e0p015_pe0_c0p01_vs0_m1p25_clip4_pos120_dh20_hi300_hc60_gh0_gm8,1,0.015,0.55,0.0,0.015,0.0,0.01,0.005,0.0,1.25,4,120,20,300,60,0.0,8,1396.0,191,912,-192,-4778.0,6174.0
gamma_a0p015_w0p55_rho0_e0p015_pe0_c0p01_vs0_m1p25_clip4_pos120_dh20_hi300_hc60_gh0_gm8,2,0.015,0.55,0.0,0.015,0.0,0.01,0.005,0.0,1.25,4,120,20,300,60,0.0,8,1601.5,191,915,-195,-4754.5,6356.0
