variant_id,final_pnl_total,day_0_pnl,day_1_pnl,day_2_pnl,mean_day_pnl,std_day_pnl,min_day_pnl,positive_days,stability_score,own_trade_count,traded_qty,rv_alpha,rv_weight,forecast_rho,min_vol_edge,min_price_edge,cost_buffer,exit_vol_edge,vega_clip_scale,moneyness_limit,max_option_clip,max_long_option_position,delta_hedge_threshold,hedge_interval_ticks,max_hedge_clip,gamma_hedge_sensitivity,gamma_hedge_min_threshold
gamma_a0p015_w0p55_rho0_e0p035_pe0_c0p01_vs0_m1_clip8_pos120_dh20_hi300_hc60_gh0_gm8,2326.5,-1081.0,1978.5,1429.0,775.5,1331.7736919862423,-1081.0,2,0.582306141550834,311,2742,0.015,0.55,0.0,0.035,0.0,0.01,0.005,0.0,1.0,8,120,20,300,60,0.0,8
gamma_a0p015_w0p55_rho0_e0p035_pe0_c0p01_vs0_m1p25_clip8_pos120_dh20_hi300_hc60_gh0_gm8,2326.5,-1081.0,1978.5,1429.0,775.5,1331.7736919862423,-1081.0,2,0.582306141550834,311,2742,0.015,0.55,0.0,0.035,0.0,0.01,0.005,0.0,1.25,8,120,20,300,60,0.0,8
gamma_a0p015_w0p55_rho0_e0p035_pe1_c0p01_vs0_m1_clip8_pos120_dh20_hi300_hc60_gh0_gm8,2326.5,-1081.0,1978.5,1429.0,775.5,1331.7736919862423,-1081.0,2,0.582306141550834,311,2742,0.015,0.55,0.0,0.035,1.0,0.01,0.005,0.0,1.0,8,120,20,300,60,0.0,8
gamma_a0p015_w0p55_rho0_e0p035_pe1_c0p01_vs0_m1p25_clip8_pos120_dh20_hi300_hc60_gh0_gm8,2326.5,-1081.0,1978.5,1429.0,775.5,1331.7736919862423,-1081.0,2,0.582306141550834,311,2742,0.015,0.55,0.0,0.035,1.0,0.01,0.005,0.0,1.25,8,120,20,300,60,0.0,8
gamma_a0p015_w0p95_rho0_e0p055_pe0_c0p02_vs0_m1_clip4_pos120_dh20_hi300_hc60_gh0_gm8,2294.5,-1115.0,1808.0,1601.5,764.8333333333334,1331.9135565877473,-1115.0,2,0.5742364656849046,573,2740,0.015,0.95,0.0,0.055,0.0,0.02,0.005,0.0,1.0,4,120,20,300,60,0.0,8
gamma_a0p015_w0p95_rho0_e0p055_pe0_c0p02_vs0_m1p25_clip4_pos120_dh20_hi300_hc60_gh0_gm8,2294.5,-1115.0,1808.0,1601.5,764.8333333333334,1331.9135565877473,-1115.0,2,0.5742364656849046,573,2740,0.015,0.95,0.0,0.055,0.0,0.02,0.005,0.0,1.25,4,120,20,300,60,0.0,8
gamma_a0p015_w0p95_rho0_e0p055_pe1_c0p02_vs0_m1_clip4_pos120_dh20_hi300_hc60_gh0_gm8,2294.5,-1115.0,1808.0,1601.5,764.8333333333334,1331.9135565877473,-1115.0,2,0.5742364656849046,573,2740,0.015,0.95,0.0,0.055,1.0,0.02,0.005,0.0,1.0,4,120,20,300,60,0.0,8
gamma_a0p015_w0p95_rho0_e0p055_pe1_c0p02_vs0_m1p25_clip4_pos120_dh20_hi300_hc60_gh0_gm8,2294.5,-1115.0,1808.0,1601.5,764.8333333333334,1331.9135565877473,-1115.0,2,0.5742364656849046,573,2740,0.015,0.95,0.0,0.055,1.0,0.02,0.005,0.0,1.25,4,120,20,300,60,0.0,8
gamma_a0p015_w0p55_rho0_e0p015_pe0_c0p01_vs0p1_m1_clip4_pos120_dh20_hi300_hc60_gh0_gm8,2973.5,-1145.0,2277.0,1841.5,991.1666666666666,1520.9253944738891,-1145.0,2,0.6516865786233218,1567,2734,0.015,0.55,0.0,0.015,0.0,0.01,0.005,0.1,1.0,4,120,20,300,60,0.0,8
gamma_a0p015_w0p55_rho0_e0p015_pe0_c0p01_vs0p1_m1_clip8_pos120_dh20_hi300_hc60_gh0_gm8,2973.5,-1145.0,2277.0,1841.5,991.1666666666666,1520.9253944738891,-1145.0,2,0.6516865786233218,1567,2734,0.015,0.55,0.0,0.015,0.0,0.01,0.005,0.1,1.0,8,120,20,300,60,0.0,8
gamma_a0p015_w0p55_rho0_e0p015_pe0_c0p01_vs0p1_m1p25_clip4_pos120_dh20_hi300_hc60_gh0_gm8,2973.5,-1145.0,2277.0,1841.5,991.1666666666666,1520.9253944738891,-1145.0,2,0.6516865786233218,1567,2734,0.015,0.55,0.0,0.015,0.0,0.01,0.005,0.1,1.25,4,120,20,300,60,0.0,8
gamma_a0p015_w0p55_rho0_e0p015_pe0_c0p01_vs0p1_m1p25_clip8_pos120_dh20_hi300_hc60_gh0_gm8,2973.5,-1145.0,2277.0,1841.5,991.1666666666666,1520.9253944738891,-1145.0,2,0.6516865786233218,1567,2734,0.015,0.55,0.0,0.015,0.0,0.01,0.005,0.1,1.25,8,120,20,300,60,0.0,8
gamma_a0p015_w0p55_rho0_e0p015_pe1_c0p01_vs0p1_m1_clip4_pos120_dh20_hi300_hc60_gh0_gm8,2973.5,-1145.0,2277.0,1841.5,991.1666666666666,1520.9253944738891,-1145.0,2,0.6516865786233218,1567,2734,0.015,0.55,0.0,0.015,1.0,0.01,0.005,0.1,1.0,4,120,20,300,60,0.0,8
gamma_a0p015_w0p55_rho0_e0p015_pe1_c0p01_vs0p1_m1_clip8_pos120_dh20_hi300_hc60_gh0_gm8,2973.5,-1145.0,2277.0,1841.5,991.1666666666666,1520.9253944738891,-1145.0,2,0.6516865786233218,1567,2734,0.015,0.55,0.0,0.015,1.0,0.01,0.005,0.1,1.0,8,120,20,300,60,0.0,8
gamma_a0p015_w0p55_rho0_e0p015_pe1_c0p01_vs0p1_m1p25_clip4_pos120_dh20_hi300_hc60_gh0_gm8,2973.5,-1145.0,2277.0,1841.5,991.1666666666666,1520.9253944738891,-1145.0,2,0.6516865786233218,1567,2734,0.015,0.55,0.0,0.015,1.0,0.01,0.005,0.1,1.25,4,120,20,300,60,0.0,8
gamma_a0p015_w0p55_rho0_e0p015_pe1_c0p01_vs0p1_m1p25_clip8_pos120_dh20_hi300_hc60_gh0_gm8,2973.5,-1145.0,2277.0,1841.5,991.1666666666666,1520.9253944738891,-1145.0,2,0.6516865786233218,1567,2734,0.015,0.55,0.0,0.015,1.0,0.01,0.005,0.1,1.25,8,120,20,300,60,0.0,8
gamma_a0p015_w0p7_rho0p2_e0p055_pe0_c0p01_vs0_m1_clip4_pos120_dh20_hi300_hc60_gh0_gm8,3186.0,-1170.0,2754.5,1601.5,1062.0,1646.9608880197084,-1170.0,2,0.6448240560686871,576,2730,0.015,0.7,0.2,0.055,0.0,0.01,0.005,0.0,1.0,4,120,20,300,60,0.0,8
gamma_a0p015_w0p7_rho0p2_e0p055_pe0_c0p01_vs0_m1p25_clip4_pos120_dh20_hi300_hc60_gh0_gm8,3186.0,-1170.0,2754.5,1601.5,1062.0,1646.9608880197084,-1170.0,2,0.6448240560686871,576,2730,0.015,0.7,0.2,0.055,0.0,0.01,0.005,0.0,1.25,4,120,20,300,60,0.0,8
gamma_a0p015_w0p7_rho0p2_e0p055_pe1_c0p01_vs0_m1_clip4_pos120_dh20_hi300_hc60_gh0_gm8,3186.0,-1170.0,2754.5,1601.5,1062.0,1646.9608880197084,-1170.0,2,0.6448240560686871,576,2730,0.015,0.7,0.2,0.055,1.0,0.01,0.005,0.0,1.0,4,120,20,300,60,0.0,8
gamma_a0p015_w0p7_rho0p2_e0p055_pe1_c0p01_vs0_m1p25_clip4_pos120_dh20_hi300_hc60_gh0_gm8,3186.0,-1170.0,2754.5,1601.5,1062.0,1646.9608880197084,-1170.0,2,0.6448240560686871,576,2730,0.015,0.7,0.2,0.055,1.0,0.01,0.005,0.0,1.25,4,120,20,300,60,0.0,8
gamma_a0p015_w0p95_rho0p2_e0p055_pe0_c0p02_vs0_m1_clip4_pos120_dh20_hi300_hc60_gh0_gm8,2232.5,-1178.0,1809.0,1601.5,744.1666666666666,1361.8143738736528,-1178.0,2,0.5464523513210934,573,2742,0.015,0.95,0.2,0.055,0.0,0.02,0.005,0.0,1.0,4,120,20,300,60,0.0,8
gamma_a0p015_w0p95_rho0p2_e0p055_pe0_c0p02_vs0_m1p25_clip4_pos120_dh20_hi300_hc60_gh0_gm8,2232.5,-1178.0,1809.0,1601.5,744.1666666666666,1361.8143738736528,-1178.0,2,0.5464523513210934,573,2742,0.015,0.95,0.2,0.055,0.0,0.02,0.005,0.0,1.25,4,120,20,300,60,0.0,8
gamma_a0p015_w0p95_rho0p2_e0p055_pe1_c0p02_vs0_m1_clip4_pos120_dh20_hi300_hc60_gh0_gm8,2232.5,-1178.0,1809.0,1601.5,744.1666666666666,1361.8143738736528,-1178.0,2,0.5464523513210934,573,2742,0.015,0.95,0.2,0.055,1.0,0.02,0.005,0.0,1.0,4,120,20,300,60,0.0,8
