variant_id,proxy_pnl,day_0_proxy_pnl,day_1_proxy_pnl,day_2_proxy_pnl,min_day_proxy_pnl,positive_days,trade_count,unit_count,mean_hit_rate,threshold,rv_alpha,horizon,ridge_lambda,threshold_quantile,min_score,moneyness_limit,max_option_clip,max_long_option_position,delta_hedge_threshold,hedge_interval_ticks,max_hedge_clip
qpconv_a0p008_h400_l10_q0p98_s0p1_m1_clip4_pos20_dh20_hi300_hc60,596.6835219157465,121.65453636486544,184.5039139431254,290.52507160775565,121.65453636486544,3,628,2299,0.5949247721974994,0.1,0.008,400,10.0,0.98,0.1,1.0,4,20,20,300,60
qpconv_a0p008_h400_l10_q0p98_s0p1_m1_clip4_pos40_dh20_hi300_hc60,596.6835219157465,121.65453636486544,184.5039139431254,290.52507160775565,121.65453636486544,3,628,2299,0.5949247721974994,0.1,0.008,400,10.0,0.98,0.1,1.0,4,40,20,300,60
qpconv_a0p008_h400_l0p1_q0p98_s0p1_m1_clip4_pos20_dh20_hi300_hc60,611.2925564016185,119.83831971933583,191.67019808381718,299.7840385984655,119.83831971933583,3,639,2339,0.593820992118277,0.1,0.008,400,0.1,0.98,0.1,1.0,4,20,20,300,60
qpconv_a0p008_h400_l0p1_q0p98_s0p1_m1_clip4_pos40_dh20_hi300_hc60,611.2925564016185,119.83831971933583,191.67019808381718,299.7840385984655,119.83831971933583,3,639,2339,0.593820992118277,0.1,0.008,400,0.1,0.98,0.1,1.0,4,40,20,300,60
qpconv_a0p008_h400_l1_q0p98_s0p1_m1_clip4_pos20_dh20_hi300_hc60,609.6659851502118,119.29352188754021,192.2348337469109,298.1376295157607,119.29352188754021,3,637,2333,0.5921952250845693,0.1,0.008,400,1.0,0.98,0.1,1.0,4,20,20,300,60
qpconv_a0p008_h400_l1_q0p98_s0p1_m1_clip4_pos40_dh20_hi300_hc60,609.6659851502118,119.29352188754021,192.2348337469109,298.1376295157607,119.29352188754021,3,637,2333,0.5921952250845693,0.1,0.008,400,1.0,0.98,0.1,1.0,4,40,20,300,60
qpconv_a0p015_h400_l10_q0p98_s0p1_m1_clip4_pos20_dh20_hi300_hc60,592.5317094929978,115.73321111980464,188.88275730784756,287.9157410653456,115.73321111980464,3,617,2254,0.5914279983955074,0.1,0.015,400,10.0,0.98,0.1,1.0,4,20,20,300,60
qpconv_a0p015_h400_l10_q0p98_s0p1_m1_clip4_pos40_dh20_hi300_hc60,592.5317094929978,115.73321111980464,188.88275730784756,287.9157410653456,115.73321111980464,3,617,2254,0.5914279983955074,0.1,0.015,400,10.0,0.98,0.1,1.0,4,40,20,300,60
qpconv_a0p03_h400_l1_q0p98_s0p1_m1_clip4_pos20_dh20_hi300_hc60,606.5646816934366,115.45118902463771,194.71387779934508,296.3996148694538,115.45118902463771,3,635,2323,0.5885367301805188,0.1,0.03,400,1.0,0.98,0.1,1.0,4,20,20,300,60
qpconv_a0p03_h400_l1_q0p98_s0p1_m1_clip4_pos40_dh20_hi300_hc60,606.5646816934366,115.45118902463771,194.71387779934508,296.3996148694538,115.45118902463771,3,635,2323,0.5885367301805188,0.1,0.03,400,1.0,0.98,0.1,1.0,4,40,20,300,60
qpconv_a0p03_h400_l0p1_q0p98_s0p1_m1_clip4_pos20_dh20_hi300_hc60,606.8138949277628,115.23163231589464,195.18264774241436,296.3996148694538,115.23163231589464,3,638,2335,0.5883725796005657,0.1,0.03,400,0.1,0.98,0.1,1.0,4,20,20,300,60
qpconv_a0p03_h400_l0p1_q0p98_s0p1_m1_clip4_pos40_dh20_hi300_hc60,606.8138949277628,115.23163231589464,195.18264774241436,296.3996148694538,115.23163231589464,3,638,2335,0.5883725796005657,0.1,0.03,400,0.1,0.98,0.1,1.0,4,40,20,300,60
qpconv_a0p015_h400_l1_q0p98_s0p1_m1_clip4_pos20_dh20_hi300_hc60,599.9407204351569,114.21635162428564,187.7247484430318,297.9996203678394,114.21635162428564,3,631,2307,0.5860067814293166,0.1,0.015,400,1.0,0.98,0.1,1.0,4,20,20,300,60
qpconv_a0p015_h400_l1_q0p98_s0p1_m1_clip4_pos40_dh20_hi300_hc60,599.9407204351569,114.21635162428564,187.7247484430318,297.9996203678394,114.21635162428564,3,631,2307,0.5860067814293166,0.1,0.015,400,1.0,0.98,0.1,1.0,4,40,20,300,60
qpconv_a0p015_h400_l0p1_q0p98_s0p1_m1_clip4_pos20_dh20_hi300_hc60,597.2796532691802,114.21635162428564,185.06368127705525,297.9996203678394,114.21635162428564,3,632,2311,0.5852478257523281,0.1,0.015,400,0.1,0.98,0.1,1.0,4,20,20,300,60
qpconv_a0p015_h400_l0p1_q0p98_s0p1_m1_clip4_pos40_dh20_hi300_hc60,597.2796532691802,114.21635162428564,185.06368127705525,297.9996203678394,114.21635162428564,3,632,2311,0.5852478257523281,0.1,0.015,400,0.1,0.98,0.1,1.0,4,40,20,300,60
qpconv_a0p03_h400_l10_q0p98_s0p1_m1_clip4_pos20_dh20_hi300_hc60,591.2881979997363,112.06162867724014,190.57938210310044,288.6471872193958,112.06162867724014,3,624,2283,0.5857117296730823,0.1,0.03,400,10.0,0.98,0.1,1.0,4,20,20,300,60
qpconv_a0p03_h400_l10_q0p98_s0p1_m1_clip4_pos40_dh20_hi300_hc60,591.2881979997363,112.06162867724014,190.57938210310044,288.6471872193958,112.06162867724014,3,624,2283,0.5857117296730823,0.1,0.03,400,10.0,0.98,0.1,1.0,4,40,20,300,60
qpconv_a0p008_h400_l10_q0p98_s0p1_m1_clip2_pos20_dh20_hi300_hc60,393.6371520178176,77.80908516327457,123.13082053643146,192.69724631811158,77.80908516327457,3,628,1256,0.5949247721974994,0.1,0.008,400,10.0,0.98,0.1,1.0,2,20,20,300,60
qpconv_a0p008_h400_l10_q0p98_s0p1_m1_clip2_pos40_dh20_hi300_hc60,393.6371520178176,77.80908516327457,123.13082053643146,192.69724631811158,77.80908516327457,3,628,1256,0.5949247721974994,0.1,0.008,400,10.0,0.98,0.1,1.0,2,40,20,300,60
qpconv_a0p008_h400_l0p1_q0p98_s0p1_m1_clip2_pos20_dh20_hi300_hc60,401.35840440724655,76.79195601971168,127.23971857406838,197.3267298134665,76.79195601971168,3,639,1278,0.593820992118277,0.1,0.008,400,0.1,0.98,0.1,1.0,2,20,20,300,60
qpconv_a0p008_h400_l0p1_q0p98_s0p1_m1_clip2_pos40_dh20_hi300_hc60,401.35840440724655,76.79195601971168,127.23971857406838,197.3267298134665,76.79195601971168,3,639,1278,0.593820992118277,0.1,0.008,400,0.1,0.98,0.1,1.0,2,40,20,300,60
qpconv_a0p03_h400_l10_q0p98_s0p2_m1_clip4_pos20_dh20_hi300_hc60,508.3600353287644,76.77717072828847,170.6718579540156,260.91100664646035,76.77717072828847,3,313,1126,0.6920852090810392,0.2,0.03,400,10.0,0.98,0.2,1.0,4,20,20,300,60
qpconv_a0p03_h400_l10_q0p98_s0p2_m1_clip4_pos40_dh20_hi300_hc60,508.3600353287644,76.77717072828847,170.6718579540156,260.91100664646035,76.77717072828847,3,313,1126,0.6920852090810392,0.2,0.03,400,10.0,0.98,0.2,1.0,4,40,20,300,60
qpconv_a0p008_h400_l1_q0p98_s0p1_m1_clip2_pos20_dh20_hi300_hc60,399.92856317561956,76.42875746518125,126.99628043832418,196.50352527211413,76.42875746518125,3,637,1274,0.5921952250845693,0.1,0.008,400,1.0,0.98,0.1,1.0,2,20,20,300,60
qpconv_a0p008_h400_l1_q0p98_s0p1_m1_clip2_pos40_dh20_hi300_hc60,399.92856317561956,76.42875746518125,126.99628043832418,196.50352527211413,76.42875746518125,3,637,1274,0.5921952250845693,0.1,0.008,400,1.0,0.98,0.1,1.0,2,40,20,300,60
qpconv_a0p015_h400_l10_q0p98_s0p1_m1_clip2_pos20_dh20_hi300_hc60,389.47738212492135,74.64860208131347,125.43669709459847,189.39208294900942,74.64860208131347,3,617,1234,0.5914279983955074,0.1,0.015,400,10.0,0.98,0.1,1.0,2,20,20,300,60
qpconv_a0p015_h400_l10_q0p98_s0p1_m1_clip2_pos40_dh20_hi300_hc60,389.47738212492135,74.64860208131347,125.43669709459847,189.39208294900942,74.64860208131347,3,617,1234,0.5914279983955074,0.1,0.015,400,10.0,0.98,0.1,1.0,2,40,20,300,60
qpconv_a0p03_h400_l1_q0p98_s0p1_m1_clip2_pos20_dh20_hi300_hc60,398.8970424251698,74.50759103373001,128.7549334424791,195.63451794896065,74.50759103373001,3,635,1270,0.5885367301805188,0.1,0.03,400,1.0,0.98,0.1,1.0,2,20,20,300,60
qpconv_a0p03_h400_l1_q0p98_s0p1_m1_clip2_pos40_dh20_hi300_hc60,398.8970424251698,74.50759103373001,128.7549334424791,195.63451794896065,74.50759103373001,3,635,1270,0.5885367301805188,0.1,0.03,400,1.0,0.98,0.1,1.0,2,40,20,300,60
