variant_id,test_day,train_days,test_proxy_pnl,test_trade_count,test_hit_rate,threshold,rv_alpha,horizon,ridge_lambda,threshold_quantile,min_score,moneyness_limit,max_option_clip,max_long_option_position,delta_hedge_threshold,hedge_interval_ticks,max_hedge_clip
qpconv_a0p008_h100_l0p1_q0p98_s0p1_m1_clip1_pos20_dh20_hi300_hc60,0,"1,2",20.72641850500255,112,0.5803571428571429,0.1,0.008,100,0.1,0.98,0.1,1.0,1,20,20,300,60
qpconv_a0p008_h100_l0p1_q0p98_s0p1_m1_clip1_pos20_dh20_hi300_hc60,1,"0,2",25.73176324595551,186,0.5161290322580645,0.1,0.008,100,0.1,0.98,0.1,1.0,1,20,20,300,60
qpconv_a0p008_h100_l0p1_q0p98_s0p1_m1_clip1_pos20_dh20_hi300_hc60,2,"0,1",69.03660605694708,165,0.7212121212121212,0.1,0.008,100,0.1,0.98,0.1,1.0,1,20,20,300,60
qpconv_a0p008_h100_l0p1_q0p98_s0p1_m1_clip1_pos40_dh20_hi300_hc60,0,"1,2",20.72641850500255,112,0.5803571428571429,0.1,0.008,100,0.1,0.98,0.1,1.0,1,40,20,300,60
qpconv_a0p008_h100_l0p1_q0p98_s0p1_m1_clip1_pos40_dh20_hi300_hc60,1,"0,2",25.73176324595551,186,0.5161290322580645,0.1,0.008,100,0.1,0.98,0.1,1.0,1,40,20,300,60
qpconv_a0p008_h100_l0p1_q0p98_s0p1_m1_clip1_pos40_dh20_hi300_hc60,2,"0,1",69.03660605694708,165,0.7212121212121212,0.1,0.008,100,0.1,0.98,0.1,1.0,1,40,20,300,60
qpconv_a0p008_h100_l0p1_q0p98_s0p1_m1_clip2_pos20_dh20_hi300_hc60,0,"1,2",41.4528370100051,112,0.5803571428571429,0.1,0.008,100,0.1,0.98,0.1,1.0,2,20,20,300,60
qpconv_a0p008_h100_l0p1_q0p98_s0p1_m1_clip2_pos20_dh20_hi300_hc60,1,"0,2",51.46352649191102,186,0.5161290322580645,0.1,0.008,100,0.1,0.98,0.1,1.0,2,20,20,300,60
qpconv_a0p008_h100_l0p1_q0p98_s0p1_m1_clip2_pos20_dh20_hi300_hc60,2,"0,1",138.07321211389416,165,0.7212121212121212,0.1,0.008,100,0.1,0.98,0.1,1.0,2,20,20,300,60
qpconv_a0p008_h100_l0p1_q0p98_s0p1_m1_clip2_pos40_dh20_hi300_hc60,0,"1,2",41.4528370100051,112,0.5803571428571429,0.1,0.008,100,0.1,0.98,0.1,1.0,2,40,20,300,60
qpconv_a0p008_h100_l0p1_q0p98_s0p1_m1_clip2_pos40_dh20_hi300_hc60,1,"0,2",51.46352649191102,186,0.5161290322580645,0.1,0.008,100,0.1,0.98,0.1,1.0,2,40,20,300,60
qpconv_a0p008_h100_l0p1_q0p98_s0p1_m1_clip2_pos40_dh20_hi300_hc60,2,"0,1",138.07321211389416,165,0.7212121212121212,0.1,0.008,100,0.1,0.98,0.1,1.0,2,40,20,300,60
qpconv_a0p008_h100_l0p1_q0p98_s0p1_m1_clip4_pos20_dh20_hi300_hc60,0,"1,2",59.502344374848946,112,0.5803571428571429,0.1,0.008,100,0.1,0.98,0.1,1.0,4,20,20,300,60
qpconv_a0p008_h100_l0p1_q0p98_s0p1_m1_clip4_pos20_dh20_hi300_hc60,1,"0,2",69.29031645784157,186,0.5161290322580645,0.1,0.008,100,0.1,0.98,0.1,1.0,4,20,20,300,60
qpconv_a0p008_h100_l0p1_q0p98_s0p1_m1_clip4_pos20_dh20_hi300_hc60,2,"0,1",216.97009393757213,165,0.7212121212121212,0.1,0.008,100,0.1,0.98,0.1,1.0,4,20,20,300,60
qpconv_a0p008_h100_l0p1_q0p98_s0p1_m1_clip4_pos40_dh20_hi300_hc60,0,"1,2",59.502344374848946,112,0.5803571428571429,0.1,0.008,100,0.1,0.98,0.1,1.0,4,40,20,300,60
