variant_id,day,final_pnl_total,own_trade_count,tick_count,return_code,threshold,exit_threshold,rv_alpha,horizon,ridge_lambda,threshold_quantile,min_score,moneyness_limit,max_option_clip,max_long_option_position,delta_hedge_threshold,hedge_interval_ticks,max_hedge_clip
qpconv_a0p008_h400_l10_q0p98_s0p1_m1_clip4_pos20_dh20_hi300_hc60,0,-333.0,204,10000,0,0.1,0.025,0.008,400,10.0,0.98,0.1,1.0,4,20,20,300,60
qpconv_a0p008_h400_l10_q0p98_s0p1_m1_clip4_pos20_dh20_hi300_hc60,1,-988.0,506,10000,0,0.1,0.025,0.008,400,10.0,0.98,0.1,1.0,4,20,20,300,60
qpconv_a0p008_h400_l10_q0p98_s0p1_m1_clip4_pos20_dh20_hi300_hc60,2,-1172.0,600,10000,0,0.1,0.025,0.008,400,10.0,0.98,0.1,1.0,4,20,20,300,60
qpconv_a0p008_h400_l10_q0p98_s0p1_m1_clip4_pos40_dh20_hi300_hc60,0,-333.0,204,10000,0,0.1,0.025,0.008,400,10.0,0.98,0.1,1.0,4,40,20,300,60
qpconv_a0p008_h400_l10_q0p98_s0p1_m1_clip4_pos40_dh20_hi300_hc60,1,-988.0,506,10000,0,0.1,0.025,0.008,400,10.0,0.98,0.1,1.0,4,40,20,300,60
qpconv_a0p008_h400_l10_q0p98_s0p1_m1_clip4_pos40_dh20_hi300_hc60,2,-1172.0,600,10000,0,0.1,0.025,0.008,400,10.0,0.98,0.1,1.0,4,40,20,300,60
qpconv_a0p008_h400_l0p1_q0p98_s0p1_m1_clip4_pos20_dh20_hi300_hc60,0,-354.0,216,10000,0,0.1,0.025,0.008,400,0.1,0.98,0.1,1.0,4,20,20,300,60
qpconv_a0p008_h400_l0p1_q0p98_s0p1_m1_clip4_pos20_dh20_hi300_hc60,1,-1000.0,514,10000,0,0.1,0.025,0.008,400,0.1,0.98,0.1,1.0,4,20,20,300,60
qpconv_a0p008_h400_l0p1_q0p98_s0p1_m1_clip4_pos20_dh20_hi300_hc60,2,-1188.0,604,10000,0,0.1,0.025,0.008,400,0.1,0.98,0.1,1.0,4,20,20,300,60
qpconv_a0p008_h400_l0p1_q0p98_s0p1_m1_clip4_pos40_dh20_hi300_hc60,0,-354.0,216,10000,0,0.1,0.025,0.008,400,0.1,0.98,0.1,1.0,4,40,20,300,60
qpconv_a0p008_h400_l0p1_q0p98_s0p1_m1_clip4_pos40_dh20_hi300_hc60,1,-1000.0,514,10000,0,0.1,0.025,0.008,400,0.1,0.98,0.1,1.0,4,40,20,300,60
qpconv_a0p008_h400_l0p1_q0p98_s0p1_m1_clip4_pos40_dh20_hi300_hc60,2,-1188.0,604,10000,0,0.1,0.025,0.008,400,0.1,0.98,0.1,1.0,4,40,20,300,60
qpconv_a0p008_h400_l1_q0p98_s0p1_m1_clip4_pos20_dh20_hi300_hc60,0,-351.0,214,10000,0,0.1,0.025,0.008,400,1.0,0.98,0.1,1.0,4,20,20,300,60
qpconv_a0p008_h400_l1_q0p98_s0p1_m1_clip4_pos20_dh20_hi300_hc60,1,-996.0,510,10000,0,0.1,0.025,0.008,400,1.0,0.98,0.1,1.0,4,20,20,300,60
qpconv_a0p008_h400_l1_q0p98_s0p1_m1_clip4_pos20_dh20_hi300_hc60,2,-1192.0,606,10000,0,0.1,0.025,0.008,400,1.0,0.98,0.1,1.0,4,20,20,300,60
qpconv_a0p008_h400_l1_q0p98_s0p1_m1_clip4_pos40_dh20_hi300_hc60,0,-351.0,214,10000,0,0.1,0.025,0.008,400,1.0,0.98,0.1,1.0,4,40,20,300,60
qpconv_a0p008_h400_l1_q0p98_s0p1_m1_clip4_pos40_dh20_hi300_hc60,1,-996.0,510,10000,0,0.1,0.025,0.008,400,1.0,0.98,0.1,1.0,4,40,20,300,60
qpconv_a0p008_h400_l1_q0p98_s0p1_m1_clip4_pos40_dh20_hi300_hc60,2,-1192.0,606,10000,0,0.1,0.025,0.008,400,1.0,0.98,0.1,1.0,4,40,20,300,60
qpconv_a0p015_h400_l10_q0p98_s0p1_m1_clip4_pos20_dh20_hi300_hc60,0,-331.0,204,10000,0,0.1,0.025,0.015,400,10.0,0.98,0.1,1.0,4,20,20,300,60
qpconv_a0p015_h400_l10_q0p98_s0p1_m1_clip4_pos20_dh20_hi300_hc60,1,-958.0,500,10000,0,0.1,0.025,0.015,400,10.0,0.98,0.1,1.0,4,20,20,300,60
qpconv_a0p015_h400_l10_q0p98_s0p1_m1_clip4_pos20_dh20_hi300_hc60,2,-1088.0,564,10000,0,0.1,0.025,0.015,400,10.0,0.98,0.1,1.0,4,20,20,300,60
qpconv_a0p015_h400_l10_q0p98_s0p1_m1_clip4_pos40_dh20_hi300_hc60,0,-331.0,204,10000,0,0.1,0.025,0.015,400,10.0,0.98,0.1,1.0,4,40,20,300,60
qpconv_a0p015_h400_l10_q0p98_s0p1_m1_clip4_pos40_dh20_hi300_hc60,1,-958.0,500,10000,0,0.1,0.025,0.015,400,10.0,0.98,0.1,1.0,4,40,20,300,60
qpconv_a0p015_h400_l10_q0p98_s0p1_m1_clip4_pos40_dh20_hi300_hc60,2,-1088.0,564,10000,0,0.1,0.025,0.015,400,10.0,0.98,0.1,1.0,4,40,20,300,60
