symbol,side,volume,signed_volume,edge,expected_pnl
AC,BUY,0,0,0.0,0.0
AC_50_P,BUY,0,0,0.0,0.0
AC_50_C,BUY,0,0,0.0,0.0
AC_35_P,BUY,0,0,0.0,0.0
AC_40_P,BUY,0,0,0.0,0.0
AC_45_P,BUY,0,0,0.0,0.0
AC_60_C,SELL,50,-50,0.00820830269071493,1231.2454036072395
AC_50_P_2,BUY,50,50,0.12070928783334267,18106.3931750014
AC_50_C_2,BUY,50,50,0.12070928783334267,18106.3931750014
AC_50_CO,SELL,50,-50,0.3023414760732628,45351.22141098942
AC_40_BP,SELL,50,-50,0.23205480447735827,34808.22067160374
AC_45_KO,BUY,500,500,0.030566625440154677,45849.93816023201
