name,q,expected_pnl,mc_mean_path,std_path,std_100,p01_path,p05_path,prob_gt_0_norm,prob_gt_250k_norm,prob_gt_500k_norm,prob_gt_1m_norm,objective_lambda_0,objective_lambda_0.25,objective_lambda_0.5,objective_lambda_1,objective_lambda_2
pure_max_positive_edge,"(0, 0, 0, 0, 0, 0, -50, 50, 50, -50, -50, 500)",163453.4119964352,165184.24598494772,5861784.4661624655,586178.4466162466,-23696750.7211731,-9592877.12000748,0.6098184269544207,0.4413112870903427,0.2829376333365782,0.0767727518176617,163453.4119964352,16908.80034237355,-129635.8113116881,-422725.0346198114,-1008903.481236058
ac_hedge_+1,"(1, 0, 0, 0, 0, 0, -50, 50, 50, -50, -50, 500)",163378.41199643523,165240.22961520203,5796054.007383219,579605.400738322,-23351516.731545053,-9409521.306236994,0.6109817355283423,0.4405995791018548,0.2806953197187997,0.0744492605973466,163378.41199643523,18477.061811854743,-126424.28837272574,-416226.9887418867,-995832.3894802086
ac_hedge_-1,"(-1, 0, 0, 0, 0, 0, -50, 50, 50, -50, -50, 500)",163378.41199643523,164978.26235469352,5928507.967280471,592850.7967280471,-24061855.579607602,-9775954.161188917,0.6085650455014249,0.4419171708847038,0.2850848712318126,0.07909517605869021,163378.41199643523,15165.71281442346,-133046.9863675883,-429472.3847316118,-1022323.1814596589
ac_hedge_-2,"(-2, 0, 0, 0, 0, 0, -50, 50, 50, -50, -50, 500)",163303.41199643523,164772.27872443915,5996191.360154909,599619.1360154909,-24408387.603373036,-9959518.107609162,0.6073217095390006,0.4425188391179541,0.28722243043275597,0.08145063002547936,163303.41199643523,13398.627992562513,-136506.1560113102,-436315.7240190556,-1035934.8600345465
ac_hedge_+2,"(2, 0, 0, 0, 0, 0, -50, 50, 50, -50, -50, 500)",163303.41199643523,165296.21324545634,5731350.757403223,573135.0757403222,-22996881.50591394,-9223877.032446243,0.6121511375354843,0.4398824367401202,0.2784458476735029,0.07216436925551756,163303.41199643523,20019.64306135467,-123264.12587372589,-409831.663743887,-982966.7394842092
ac_hedge_+3,"(3, 0, 0, 0, 0, 0, -50, 50, 50, -50, -50, 500)",163228.41199643523,165352.19687571068,5667709.896544973,566770.9896544974,-22652990.813060556,-9043189.837544134,0.6133255278984409,0.43916043876468985,0.2761913793889458,0.06992042550159755,163228.41199643523,21535.66458281089,-120157.08283081345,-403542.5776580621,-970313.5673125595
ac_hedge_-3,"(-3, 0, 0, 0, 0, 0, -50, 50, 50, -50, -50, 500)",163228.41199643523,164566.29509418478,6064802.507601435,606480.2507601435,-24762263.910463672,-10142428.477422092,0.6060892262399646,0.4431158480994591,0.28934862706399483,0.08383677744779122,163228.41199643523,11608.349306399352,-140011.71338363652,-443251.83876370825,-1049732.0895238519
ac_hedge_-4,"(-4, 0, 0, 0, 0, 0, -50, 50, 50, -50, -50, 500)",163153.41199643523,164360.3114639304,6134310.279399376,613431.0279399377,-25102565.93773282,-10330393.31969914,0.6048683168180378,0.44370779946167815,0.29146191845837494,0.08625129346529248,163153.41199643523,9795.655011450814,-143562.1019735336,-450277.6159435024,-1063708.6438834402
ac_hedge_+4,"(4, 0, 0, 0, 0, 0, -50, 50, 50, -50, -50, 500)",163153.41199643523,165408.18050596496,5605167.611902884,560516.7611902885,-22299728.239371732,-8857249.387256797,0.6145036995011877,0.43843422437160684,0.2739342440244482,0.06771974612733843,163153.41199643523,23024.22169886311,-117104.968598709,-397363.3491938532,-957880.1103841417
ac_hedge_+5,"(5, 0, 0, 0, 0, 0, -50, 50, 50, -50, -50, 500)",163078.41199643523,165464.1641362193,5543761.084568872,554376.1084568872,-21950222.866860975,-8672533.57122891,0.61568433890119,0.43770449616117746,0.271676942131865,0.06556460589331377,163078.41199643523,24484.38488221343,-114109.64223200837,-391297.69646045193,-945673.8049173391
