day,source_product,trader,events,qty,notional,mean_edge,median_edge,edge_std,q_edge_sum,aggressive_rate,hit_rate,horizon,q_mean_edge,score,t_stat
1,HYDROGEL_PACK,Mark 01,160,668,1147894.0,0.23125,0.0,1.0741202338330467,167.0,0.0,0.48125,1,0.25,6.461423991660043,2.723258294108635
1,HYDROGEL_PACK,Mark 14,214,858,5975846.0,0.014018691588785047,0.0,1.1667497165448273,-26.5,0.0,0.37850467289719625,1,-0.030885780885780884,-0.9046950831485675,0.17576672631616605
1,HYDROGEL_PACK,Mark 22,109,395,254000.0,-0.22935779816513763,-0.0,1.1677219633791558,-148.0,0.944954128440367,0.3486238532110092,1,-0.37468354430379747,-7.446688160314088,-2.050630019943686
1,HYDROGEL_PACK,Mark 38,122,395,3346543.0,-0.06147540983606557,-0.0,1.1163285988957916,-29.5,1.0,0.3770491803278688,1,-0.07468354430379746,-1.4843060860085515,-0.6082600553193163
1,HYDROGEL_PACK,Mark 49,11,101,530227.0,-1.2272727272727273,-1.5,1.1696930444273907,-139.0,0.09090909090909091,0.09090909090909091,1,-1.3762376237623761,-13.831016943918849,-3.479890020028653
1,HYDROGEL_PACK,Mark 55,100,565,2964318.0,-0.215,0.0,1.101548496848455,-115.0,1.0,0.31,1,-0.20353982300884957,-4.838086361984219,-1.9517978610575737
1,HYDROGEL_PACK,Mark 67,12,112,587812.0,1.5416666666666667,1.5,0.6556860852757532,175.5,1.0,1.0,1,1.5669642857142858,16.583191253279843,8.144888400000221
1,VELVETFRUIT_EXTRACT,Mark 01,185,741,1676981.0,0.15405405405405406,-0.0,1.2009042323695711,139.5,0.0,0.44324324324324327,1,0.1882591093117409,5.124660549635249,1.7448199585681177
1,VELVETFRUIT_EXTRACT,Mark 14,234,904,6283666.0,0.11538461538461539,-0.0,1.0752474820121443,59.0,0.0,0.4017094017094017,1,0.06526548672566372,1.962310810451331,1.6415246217928101
1,VELVETFRUIT_EXTRACT,Mark 22,182,680,878423.0,-0.13186813186813187,-0.0,1.2221147436321682,-162.5,0.8516483516483516,0.4065934065934066,1,-0.23897058823529413,-6.2315905343848845,-1.4556721201966658
1,VELVETFRUIT_EXTRACT,Mark 38,191,640,5178437.0,-0.07853403141361257,0.0,1.0950173983928915,-39.0,1.0,0.34554973821989526,1,-0.0609375,-1.541610359332085,-0.9911823406016838
1,VELVETFRUIT_EXTRACT,Mark 49,13,109,572307.0,-1.6538461538461537,-1.5,0.898717034272917,-201.5,0.0,0.0,1,-1.848623853211009,-19.3001996472062,-6.635044048369952
1,VELVETFRUIT_EXTRACT,Mark 55,135,724,3799399.0,-0.17037037037037037,-0.0,1.0476750431934794,-114.0,1.0,0.2962962962962963,1,-0.1574585635359116,-4.236776633608848,-1.889445428957625
1,VELVETFRUIT_EXTRACT,Mark 67,17,140,734436.0,2.1470588235294117,2.0,0.879714191555149,306.0,1.0,1.0,1,2.1857142857142855,25.861720194692605,10.062984545215432
1,VEV_4000,Mark 01,59,243,463357.0,0.1440677966101695,0.0,0.9872062961643026,34.5,0.0,0.423728813559322,1,0.1419753086419753,2.2131760318935654,1.120946804772838
1,VEV_4000,Mark 14,83,306,2088745.0,0.10240963855421686,-0.0,1.067133829769103,33.0,0.0,0.40963855421686746,1,0.10784313725490197,1.8864844365675972,0.8743010331836648
1,VEV_4000,Mark 22,43,150,177529.0,-0.13953488372093023,-0.0,1.2551113657444186,-34.5,0.8372093023255814,0.3023255813953488,1,-0.23,-2.816913204200655,-0.7290121394550019
1,VEV_4000,Mark 38,67,238,2071319.0,-0.23134328358208955,-0.0,1.0742451832352828,-70.5,1.0,0.29850746268656714,1,-0.296218487394958,-4.5698362510427595,-1.7627506430326585
