day,product,trader,events,qty,notional,mean_edge,median_edge,edge_std,q_edge_sum,aggressive_rate,hit_rate,horizon,q_mean_edge,score,t_stat
1,HYDROGEL_PACK,Mark 14,370,1467,14661555.0,0.26756756756756755,0.0,2.1062629609652035,511.0,0.0,0.47297297297297297,1,0.3483299250170416,13.341536331461539,2.443552880145048
1,HYDROGEL_PACK,Mark 22,5,18,179969.0,-2.4,-2.5,1.5572411502397436,-43.5,0.0,0.0,1,-2.4166666666666665,-10.25304832720494,-3.446199161365143
1,HYDROGEL_PACK,Mark 38,375,1485,14841524.0,-0.232,-0.0,2.1205740318599893,-467.5,1.0,0.34933333333333333,1,-0.3148148148148148,-12.131608546517066,-2.1186059124094903
1,VELVETFRUIT_EXTRACT,Mark 01,157,884,4638275.0,0.42356687898089174,0.5,1.0518079750276967,379.5,0.0,0.535031847133758,1,0.4292986425339366,12.763966266080029,5.045861894677052
1,VELVETFRUIT_EXTRACT,Mark 14,211,1143,5996996.0,-0.009478672985781991,-0.0,1.0745564813846917,-36.5,0.0,0.3033175355450237,1,-0.031933508311461065,-1.0796170864562717,-0.12813256496938974
1,VELVETFRUIT_EXTRACT,Mark 22,50,335,1756459.0,-1.36,-1.5,1.5844911627705467,-450.0,0.14,0.2,1,-1.3432835820895523,-24.58612641186689,-6.069236894525775
1,VELVETFRUIT_EXTRACT,Mark 49,40,380,1995074.0,-1.6875,-1.5,0.9785356668420683,-699.5,0.025,0.025,1,-1.8407894736842105,-35.88359286417827,-10.906794166748353
1,VELVETFRUIT_EXTRACT,Mark 55,384,2109,11065594.0,-0.11588541666666667,0.0,1.119601172646757,-242.5,1.0,0.3255208333333333,1,-0.11498340445708867,-5.280480620250774,-2.0282946920614906
1,VELVETFRUIT_EXTRACT,Mark 67,58,519,2723756.0,1.9913793103448276,2.0,0.9342009406220726,1049.0,1.0,0.9827586206896551,1,2.021194605009634,46.04598940901483,16.234080202487466
1,VEV_4000,Mark 14,163,332,414380.0,0.23006134969325154,0.0,1.3243276873091026,74.5,0.0,0.4110429447852761,1,0.22439759036144577,4.088718684615965,2.2179002339088614
1,VEV_4000,Mark 22,1,1,1233.0,-10.5,-10.5,,-10.5,0.0,0.0,1,-10.5,-10.5,
1,VEV_4000,Mark 38,164,333,415613.0,-0.16463414634146342,0.0,1.5636885723249094,-64.0,1.0,0.34146341463414637,1,-0.1921921921921922,-3.5071783958476224,-1.34831565748509
1,VEV_4500,Mark 22,1,1,733.0,-7.5,-7.5,,-7.5,0.0,0.0,1,-7.5,-7.5,
1,VEV_4500,Mark 38,1,1,733.0,7.5,7.5,,7.5,1.0,1.0,1,7.5,7.5,
