signal,product,horizon,threshold,day,count,mean_edge,total_edge,hit_rate,t_stat
premium_rolling_z,VEV_4000,1,1.0,1,905,-8.25303867403315,-7469.0,0.09834254143646409,-54.94664652861761
premium_rolling_z,VEV_4000,1,1.0,2,903,-8.499446290143965,-7675.0,0.08859357696567,-57.64100786057888
premium_rolling_z,VEV_4000,1,1.0,3,910,-7.781318681318681,-7081.0,0.12637362637362637,-49.47758783505585
premium_rolling_z,VEV_4000,1,1.5,1,651,-7.38863287250384,-4810.0,0.13671274961597543,-37.52958546742053
premium_rolling_z,VEV_4000,1,1.5,2,658,-7.696048632218845,-5064.0,0.12158054711246201,-40.38477090896038
premium_rolling_z,VEV_4000,1,1.5,3,628,-6.586783439490445,-4136.5,0.18312101910828024,-31.581546481392106
premium_rolling_z,VEV_4000,1,2.0,1,392,-5.308673469387755,-2081.0,0.22704081632653061,-19.231439711055724
premium_rolling_z,VEV_4000,1,2.0,2,371,-5.479784366576819,-2033.0,0.215633423180593,-19.228311561696117
premium_rolling_z,VEV_4000,1,2.0,3,379,-4.075197889182058,-1544.5,0.3034300791556728,-14.943264815471194
premium_rolling_z,VEV_4000,1,2.5,1,274,-3.105839416058394,-851.0,0.3248175182481752,-10.206594403944697
premium_rolling_z,VEV_4000,1,2.5,2,247,-2.88663967611336,-713.0,0.32388663967611336,-9.252824797916867
premium_rolling_z,VEV_4000,1,2.5,3,269,-1.5353159851301115,-413.0,0.4275092936802974,-6.113065337531051
premium_rolling_z,VEV_4000,5,1.0,1,905,-8.222651933701657,-7441.5,0.10276243093922652,-50.99260620286651
premium_rolling_z,VEV_4000,5,1.0,2,903,-8.579734219269103,-7747.5,0.08527131782945736,-54.16585351285744
premium_rolling_z,VEV_4000,5,1.0,3,910,-7.7615384615384615,-7063.0,0.12527472527472527,-45.99017661633259
premium_rolling_z,VEV_4000,5,1.5,1,651,-7.387096774193548,-4809.0,0.14285714285714285,-35.52722309907708
premium_rolling_z,VEV_4000,5,1.5,2,658,-7.906534954407295,-5202.5,0.11702127659574468,-38.80483779937881
premium_rolling_z,VEV_4000,5,1.5,3,628,-6.593152866242038,-4140.5,0.18152866242038215,-29.762272109561195
premium_rolling_z,VEV_4000,5,2.0,1,392,-5.32015306122449,-2085.5,0.2372448979591837,-18.397957828904897
premium_rolling_z,VEV_4000,5,2.0,2,371,-5.6940700808625335,-2112.5,0.20754716981132076,-19.251953223625996
premium_rolling_z,VEV_4000,5,2.0,3,379,-4.163588390501319,-1578.0,0.3007915567282322,-14.230486435401565
premium_rolling_z,VEV_4000,5,2.5,1,274,-3.240875912408759,-888.0,0.33941605839416056,-9.740946532476945
premium_rolling_z,VEV_4000,5,2.5,2,247,-3.248987854251012,-802.5,0.3117408906882591,-9.614645711277458
premium_rolling_z,VEV_4000,5,2.5,3,269,-1.566914498141264,-421.5,0.42379182156133827,-5.6901330349973405
