day,participant,trades,quantity,notional
1,Mark 14,764,3012,21076108.0
1,Mark 01,550,2261,4648795.0
1,Mark 55,384,2109,11065594.0
1,Mark 38,544,1823,15258388.0
1,Mark 22,474,1806,1952609.0
1,Mark 67,58,519,2723756.0
1,Mark 49,40,380,1995074.0
2,Mark 14,668,2736,18576222.0
2,Mark 01,573,2414,5441008.0
2,Mark 55,411,2289,12034517.0
2,Mark 22,471,1804,1869781.0
2,Mark 38,439,1500,12744979.0
2,Mark 67,61,567,2980762.0
2,Mark 49,43,440,2312807.0
3,Mark 14,740,2970,20137452.0
3,Mark 01,720,2753,4595627.0
3,Mark 22,639,2279,1402425.0
3,Mark 55,403,2153,11276653.0
3,Mark 38,495,1677,14035546.0
3,Mark 67,46,424,2221932.0
3,Mark 49,39,366,1918555.0
