day,timestamp,cash,equity,gross_exposure,drawdown,stopped,open_positions,max_abs_position
3,3400,-12.0,-6.0,6.0,6.0,0,1,12
3,3700,-12.0,-12.0,0.0,12.0,0,1,12
3,3900,4704.0,-63.0,4767.0,63.0,0,2,12
3,4000,4692.0,4698.0,6.0,6.0,0,3,12
3,4100,3984.0,4680.0,696.0,24.0,0,4,12
3,4200,3276.0,4668.0,1392.0,36.0,0,4,24
3,4500,3194.0,3271.0,77.0,1433.0,0,5,24
3,4600,17317.0,3084.5,14268.5,1619.5,0,6,36
3,4800,15865.0,17299.0,1434.0,18.0,0,7,36
3,5100,15613.0,15859.0,246.0,1458.0,0,8,36
3,5200,15613.0,15678.0,65.0,1639.0,0,8,36
3,5300,14905.0,16975.0,2070.0,342.0,0,8,36
3,5500,14653.0,15145.0,492.0,2172.0,0,8,36
3,5600,14653.0,14723.0,70.0,2594.0,0,8,36
3,5900,23641.0,331.0,23310.0,16986.0,0,8,36
3,6100,21181.0,23611.0,2430.0,30.0,0,9,36
3,6200,18445.0,24085.0,5640.0,42.0,0,9,36
3,6600,18433.0,18445.0,12.0,5682.0,0,9,36
3,6900,15122.0,18394.5,3272.5,5732.5,0,10,36
3,7500,15122.0,15122.0,0.0,9005.0,0,10,36
3,7600,14921.0,15861.5,940.5,8265.5,0,10,45
3,8200,5751.0,-8538.0,14289.0,32665.0,1,10,45
3,8500,7191.0,7191.0,0.0,16936.0,1,9,45
3,8600,-5899.0,-7197.5,1298.5,31324.5,1,9,45
3,8700,-10741.0,-10741.0,0.0,34868.0,1,8,45
3,8800,-8317.0,-5863.0,2454.0,29990.0,1,8,45
3,8900,-8233.0,-8248.0,15.0,32375.0,1,8,45
3,9000,-7537.0,-6109.0,1428.0,30236.0,1,8,45
3,9300,-7537.0,-7537.0,0.0,31664.0,1,8,45
3,9700,-5125.0,-5125.0,0.0,29252.0,1,7,45
3,9800,-5125.0,-5125.0,0.0,29252.0,1,7,45
3,9900,-5125.0,-5113.0,12.0,29240.0,1,7,45
3,10100,-5125.0,-5125.0,0.0,29252.0,1,7,45
3,10500,-5209.0,-5144.0,65.0,29271.0,1,7,45
3,10800,-5209.0,-5197.0,12.0,29324.0,1,7,45
3,11100,-5137.0,-5150.0,13.0,29277.0,1,7,45
3,11300,-5137.0,-5137.0,0.0,29264.0,1,7,45
3,11700,-4801.0,-3775.0,1026.0,27902.0,1,7,45
3,11800,-4213.0,-3806.0,407.0,27933.0,1,7,45
3,11900,-4213.0,-4207.0,6.0,28334.0,1,7,45
3,12000,-15967.0,-5607.0,10360.0,29734.0,1,7,45
3,12100,-15295.0,-15640.0,345.0,39767.0,1,7,45
3,12200,-3757.0,-5049.5,1292.5,29176.5,1,7,45
3,12600,-14157.0,-5134.0,9023.0,29261.0,1,7,45
3,12800,-14157.0,-14157.0,0.0,38284.0,1,7,45
3,12900,-14043.0,-13282.5,760.5,37409.5,1,7,39
3,13100,-14043.0,-14043.0,0.0,38170.0,1,6,39
3,13300,-13971.0,-13984.0,13.0,38111.0,1,6,39
3,13600,-13755.0,-13242.0,513.0,37369.0,1,6,27
3,14000,-13755.0,-13755.0,0.0,37882.0,1,6,27
3,14200,-749.0,-4334.0,4155.0,28461.0,1,6,24
3,14600,-749.0,-749.0,0.0,24876.0,1,6,24
3,14900,-521.0,-462.5,58.5,24589.5,1,6,24
3,15100,-305.0,-476.0,171.0,24603.0,1,6,24
3,15600,-13265.0,-4270.0,8995.0,28397.0,1,6,24
3,15700,-13493.0,-13437.5,55.5,37564.5,1,6,24
3,16100,-13493.0,-13493.0,0.0,37620.0,1,6,24
3,16200,1843.0,-4599.5,6442.5,28726.5,1,6,24
3,16400,-13529.0,-4680.5,9190.5,28807.5,1,6,24
3,16600,-13529.0,-13523.0,6.0,37650.0,1,6,12
3,16700,-13529.0,-13529.0,0.0,37656.0,1,6,12
3,17100,-14189.0,-13865.0,324.0,37992.0,1,5,11
3,17500,-12497.0,-11069.5,1427.5,35196.5,1,5,9
3,17600,-12785.0,-12677.5,107.5,36804.5,1,5,10
3,17900,-12785.0,-12785.0,0.0,36912.0,1,5,10
3,18300,2491.0,-3929.0,6420.0,28056.0,1,5,10
3,18400,2491.0,2491.0,0.0,21636.0,1,5,10
3,18600,2491.0,2491.0,0.0,21636.0,1,5,10
3,18900,2491.0,2491.0,0.0,21636.0,1,5,10
3,19000,2491.0,2491.0,0.0,21636.0,1,5,10
3,19400,3055.0,2764.0,291.0,21363.0,1,5,10
3,20000,-11102.0,-3443.0,7659.0,27570.0,1,5,10
3,20200,-974.0,-3527.0,2553.0,27654.0,1,5,10
3,20300,-794.0,-938.0,144.0,25065.0,1,5,10
3,20500,-794.0,-794.0,0.0,24921.0,1,5,10
3,20800,-794.0,-794.0,0.0,24921.0,1,5,10
3,21600,-794.0,-794.0,0.0,24921.0,1,5,10
3,22100,-1406.0,-1106.0,300.0,25233.0,1,5,10
3,22300,-1406.0,-1406.0,0.0,25533.0,1,5,10
3,22700,-1598.0,-1551.5,46.5,25678.5,1,5,10
3,22900,-1034.0,-1325.0,291.0,25452.0,1,5,10
3,23200,-1034.0,-1034.0,0.0,25161.0,1,5,10
3,23300,-1034.0,-1034.0,0.0,25161.0,1,5,10
3,23600,-984.0,-984.0,0.0,25111.0,1,4,6
3,23700,-804.0,-948.0,144.0,25075.0,1,4,9
3,23800,-804.0,-804.0,0.0,24931.0,1,4,9
3,24000,2210.0,545.0,1665.0,23582.0,1,4,9
3,24100,2210.0,2210.0,0.0,21917.0,1,4,9
3,24200,2210.0,2210.0,0.0,21917.0,1,4,9
3,24400,2018.0,2064.5,46.5,22062.5,1,4,6
3,24500,2018.0,2018.0,0.0,22109.0,1,4,6
3,24600,1418.0,1709.0,291.0,22418.0,1,4,6
3,24700,1598.0,1458.5,139.5,22668.5,1,4,9
3,25300,1406.0,1451.0,45.0,22676.0,1,4,6
3,25400,1406.0,1406.0,0.0,22721.0,1,4,6
3,25800,-13942.0,-1257.0,12685.0,25384.0,1,4,10
3,25900,-13942.0,-13942.0,0.0,38069.0,1,4,10
3,26100,-13942.0,-13942.0,0.0,38069.0,1,4,10
3,26200,-13942.0,-13942.0,0.0,38069.0,1,4,10
3,26900,-13492.0,-13676.0,184.0,37803.0,1,4,10
3,27000,-13324.0,-13459.0,135.0,37586.0,1,4,10
3,27200,-13324.0,-13324.0,0.0,37451.0,1,4,10
