day,timestamp,product,side,quantity,price,cash_after,position_after,signal_edge,dynamic_threshold,gross_exposure_after,stopped
3,3600,VEV_5200,1,12,118.0,-1416.0,12,216.4105224609375,22.87850872757149,1398.0,0
3,6900,VEV_5100,1,11,205.0,-3671.0,11,150.8629150390625,23.941871081059652,2227.5,0
3,11400,VEV_5100,1,12,204.0,-6119.0,23,135.9207763671875,24.543692294004597,4623.0,0
3,11800,VEV_4000,-1,12,1283.0,9277.0,-12,-799.0669860839844,32.01896281497194,15522.0,0
3,17400,VEV_5200,1,12,112.0,7933.0,24,216.39251708984375,22.95220726248837,2652.0,0
3,21600,VEV_5300,1,6,49.0,7639.0,6,248.67990112304688,22.09494476282297,288.0,0
3,27200,VEV_4000,-1,7,1260.0,16459.0,-19,-769.7999572753906,31.69311581349921,24139.5,0
3,28000,VEV_6000,1,12,1.0,16447.0,12,284.00787353515625,21.898898377307145,6.0,0
3,32900,VEV_4500,-1,9,761.0,23296.0,-9,-323.48309326171875,22.274964993130535,6880.5,0
3,37300,VEV_4000,-1,12,1261.0,38428.0,-31,-793.2609252929688,32.301783730654265,39432.0,0
3,38200,VEV_6500,1,12,1.0,38416.0,12,227.878173828125,21.91790397959612,6.0,0
3,38400,VEV_5100,1,12,178.0,36280.0,35,165.18414306640625,23.85556743725705,6142.5,0
3,39100,VEV_6000,1,12,1.0,36268.0,24,287.9017028808594,21.743106862138927,12.0,0
3,40000,VEV_4500,-1,7,752.0,41532.0,-16,-319.67138671875,29.084951359304956,12160.0,0
3,44000,VEV_4500,-1,10,741.0,48942.0,-26,-305.253173828125,29.12628667188331,19474.0,0
3,44200,VEV_6000,1,12,1.0,48930.0,36,279.4464416503906,21.65490209773308,18.0,0
3,46200,VEV_5400,1,12,12.0,48786.0,12,243.99453735351562,21.76935038734174,138.0,0
3,47500,VEV_6000,1,12,1.0,48774.0,48,238.29342651367188,21.607748439186313,24.0,0
3,50700,VEV_5100,1,12,164.0,46806.0,47,186.12655639648438,23.10551067967269,7614.0,0
3,52100,VEV_5400,1,12,13.0,46650.0,24,256.9560546875,21.927329154356205,288.0,0
3,60400,VEV_5100,1,10,164.0,45010.0,57,192.75753784179688,23.219217572720485,9234.0,0
3,62600,VEV_5100,1,12,164.0,43042.0,69,167.62799072265625,23.536229679966226,11143.5,0
3,67600,VEV_5400,1,12,14.0,42874.0,36,263.6544494628906,21.999017752848815,468.0,0
3,68000,VEV_4500,1,6,767.0,38272.0,-20,-309.165283203125,28.847409712843238,15180.0,1
3,73700,VEV_4000,1,12,1271.0,23020.0,-19,-760.0093994140625,31.70927547728971,23940.0,1
3,74000,VEV_6500,-1,12,0.0,23020.0,0,258.3642578125,21.473030321221913,0.0,1
3,79900,VEV_5400,-1,12,13.0,23176.0,24,208.36460876464844,21.399691553224542,324.0,1
3,88300,VEV_5200,-1,12,83.0,24172.0,12,198.71652221679688,22.29804638607514,1014.0,1
3,88800,VEV_5300,-1,12,36.0,24604.0,-6,242.59585571289062,21.81281028717777,222.0,1
3,95800,VEV_5400,-1,12,11.0,24736.0,12,241.9615020751953,21.479162810509532,144.0,1
3,105700,VEV_5300,1,12,38.0,24280.0,6,253.44625854492188,21.771982354278,222.0,1
3,106900,VEV_5200,-1,12,85.0,25300.0,0,229.4654541015625,21.816635922377085,0.0,1
3,109700,VEV_4500,1,7,761.0,19973.0,-13,-315.4658203125,28.72610854211905,9789.0,1
3,112900,VEV_5300,-1,12,33.0,20369.0,-6,260.1707458496094,21.88124840190588,204.0,1
3,117300,VEV_6000,-1,12,0.0,20369.0,36,275.09234619140625,21.24121374970718,18.0,1
3,118100,VEV_6000,-1,12,0.0,20369.0,24,273.8730163574219,21.10505174075456,12.0,1
3,121900,VEV_4000,1,12,1254.0,5321.0,-7,-748.4494018554688,31.16552836525366,8704.5,1
3,127900,VEV_5300,1,12,34.0,4913.0,6,224.67050170898438,21.259561211786412,201.0,1
3,134000,VEV_4500,1,8,762.0,-1183.0,-5,-316.3970642089844,28.845916818994116,3770.0,1
3,137400,VEV_5400,-1,12,10.0,-1063.0,0,268.142333984375,21.37496127481245,0.0,1
3,140400,VEV_4500,1,8,751.0,-7071.0,3,-309.41070556640625,28.616640124947235,2229.0,1
3,145600,VEV_5300,-1,12,35.0,-6651.0,-6,234.27896118164062,21.558649038940263,216.0,1
3,147300,VEV_4000,1,10,1255.0,-19201.0,3,-723.2488403320312,30.784137152803734,3733.5,1
3,156800,VEV_4000,-1,11,1223.0,-5748.0,-8,-775.2795104980469,29.83039118156827,9868.0,1
3,157100,VEV_5300,1,12,33.0,-6144.0,6,250.09390258789062,21.329904470623685,192.0,1
3,159200,VEV_4500,-1,11,725.0,1831.0,-8,-290.6824645996094,28.324968631152185,5864.0,1
3,160700,VEV_6000,-1,12,0.0,1831.0,12,270.9437561035156,21.00743935489562,6.0,1
3,161500,VEV_5100,-1,7,147.0,2860.0,62,163.80960083007812,22.62688414660719,9238.0,1
