d1,d2,d3,decay,edge,err,g,mode,name,qrad,rc,size,total,wrad
302639.0,266172.5,347855.5,,,,0.75,exact,exact_g075,,0,93667,916667.0,
301323.0,266172.5,348013.5,,21,,0.75,fair_filter,fair_filter_e21,,0,93998,915509.0,
299625.0,266172.5,347689.5,,21,,0.75,fair_fb,fair_fb_e21,,0,93995,913487.0,
284022.0,264403.5,333297.5,,13,,0.75,fair_filter,fair_filter_e13,,0,93998,881723.0,
271096.0,262260.5,331862.5,,13,,0.75,fair_fb,fair_fb_e13,,0,93995,865219.0,
246248.5,237241.0,272925.0,,8,,0.75,fair_filter,fair_filter_e8,,0,93997,756414.5,
230220.0,217791.5,273129.5,,8,,0.75,fair_fb,fair_fb_e8,,0,93994,721141.0,
175830.0,173597.0,211522.0,,5,,0.75,fair_fb,fair_fb_e5,,0,93994,560949.0,
176624.0,174650.5,169908.0,,5,,0.75,fair_filter,fair_filter_e5,,0,93997,521182.5,
129290.5,134085.0,117679.5,,3,,0.75,fair_filter,fair_filter_e3,,0,93997,381055.0,
117890.0,120977.0,105748.0,,2,,0.75,fair_filter,fair_filter_e2,,0,93997,344615.0,
104866.5,111545.0,127445.0,,3,,0.75,fair_fb,fair_fb_e3,,0,93994,343856.5,
111324.0,112081.0,103646.0,,1,,0.75,fair_filter,fair_filter_e1,,0,93997,327051.0,
109817.5,105836.0,102805.5,,0,,0.75,fair_filter,fair_filter_e0,,0,93997,318459.0,
60528.5,68233.0,84777.5,,2,,0.75,fair_fb,fair_fb_e2,,0,93994,213539.0,
-360.5,29464.0,36256.0,,1,,0.75,fair_fb,fair_fb_e1,,0,93994,65359.5,
-50181.0,-38227.0,-43453.0,,0,,0.75,fair_fb,fair_fb_e0,,0,93994,-131861.0,
-619918.0,-765437.0,-553399.0,0.5,,,0.75,near,near_q1_d0p5,1,0,94079,-1938754.0,1
-861688.5,-972780.5,-760612.5,0.75,,,0.75,near,near_q1_d0p75,1,0,94080,-2595081.5,1
-872407.0,-982040.5,-772870.5,1.0,,,0.75,near,near_q1_d1p0,1,0,94079,-2627318.0,1
-883939.5,-976378.5,-776044.5,0.75,13,,0.75,near_fair,near_fair_e13,1,0,94366,-2636362.5,1
-920637.5,-1002376.5,-817902.5,0.75,8,,0.75,near_fair,near_fair_e8,1,0,94365,-2740916.5,1
-955739.5,-1025280.5,-866229.5,0.75,5,,0.75,near_fair,near_fair_e5,1,0,94365,-2847249.5,1
-993535.5,-1067253.0,-915039.5,0.75,3,,0.75,near_fair,near_fair_e3,1,0,94365,-2975828.0,1
-1018135.0,-1113375.0,-936028.0,0.75,2,,0.75,near_fair,near_fair_e2,1,0,94365,-3067538.0,1
-1010342.0,-1156994.5,-925831.0,0.5,,,0.75,near,near_q2_d0p5,2,0,94086,-3093167.5,1
-1049941.0,-1141719.5,-984196.5,0.75,1,,0.75,near_fair,near_fair_e1,1,0,94365,-3175857.0,1
-1186470.0,-1298718.0,-1065882.0,0.5,,,0.75,near,near_q3_d0p5,3,0,94093,-3551070.0,1
-1250034.0,-1360042.0,-1107232.5,0.75,,,0.75,near,near_q2_d0p75,2,0,94087,-3717308.5,1
-1261188.5,-1371676.0,-1121932.0,1.0,,,0.75,near,near_q2_d1p0,2,0,94086,-3754796.5,1
-1423128.0,-1495885.0,-1230616.5,0.75,,,0.75,near,near_q3_d0p75,3,0,94094,-4149629.5,1
-1430477.5,-1503156.5,-1240577.5,1.0,,,0.75,near,near_q3_d1p0,3,0,94093,-4174211.5,1
