mode,edge,total,d1,d2,d3,rc,size,err
mom,21,977138.0,326089.5,289858.0,361190.5,0,94756,
mom,13,977138.0,326089.5,289858.0,361190.5,0,94756,
rev,21,977138.0,326089.5,289858.0,361190.5,0,94756,
rev,13,977138.0,326089.5,289858.0,361190.5,0,94756,
mom,8,976713.0,326112.5,289858.0,360742.5,0,94755,
rev,8,976192.0,325045.5,289858.0,361288.5,0,94755,
mom,5,975720.0,325581.5,289744.0,360394.5,0,94755,
rev,5,974006.0,324646.5,288813.0,360546.5,0,94755,
mom,2,973392.0,323667.5,289181.0,360543.5,0,94755,
rev,2,966119.0,322476.5,285952.0,357690.5,0,94755,
mom,0,958829.5,317495.5,285960.0,355374.0,0,94755,
rev,0,954342.5,317865.5,282266.5,354210.5,0,94755,
