key,val,total,delta,rc,size
VEV_52001,48,983979.0,2745.5,0,94204
VELVETFRUIT_EXTRACT1,55,983807.0,2573.5,0,94204
VEV_5300-1,70,982867.5,1634.0,0,94204
VEV_5100-1,60,982178.0,944.5,0,94204
VEV_5300-1,62,982002.5,769.0,0,94204
VEV_54001,40,981395.5,162.0,0,94204
VEV_54001,45,981257.5,24.0,0,94204
VELVETFRUIT_EXTRACT-1,40,981233.5,0.0,0,94231
VEV_50001,45,981233.5,0.0,0,94219
VEV_5000-1,45,981233.5,0.0,0,94220
VEV_51001,40,981233.5,0.0,0,94219
VEV_5200-1,60,981233.5,0.0,0,94220
VEV_53001,40,981233.5,0.0,0,94219
VEV_5400-1,60,981233.5,0.0,0,94220
VEV_52001,70,981227.5,-6.0,0,94204
VEV_54001,52,981219.5,-14.0,0,94204
VEV_5400-1,65,981081.0,-152.5,0,94220
VEV_54001,55,981061.0,-172.5,0,94204
VEV_54001,65,981045.0,-188.5,0,94204
VEV_54001,48,980985.5,-248.0,0,94204
VEV_54001,60,980919.5,-314.0,0,94204
VEV_5400-1,55,980791.5,-442.0,0,94220
VEV_5300-1,65,980607.5,-626.0,0,94204
VEV_5100-1,55,980603.5,-630.0,0,94204
VEV_5300-1,80,980511.5,-722.0,0,94204
HYDROGEL_PACK1,45,980475.5,-758.0,0,94204
VEV_5400-1,40,980414.5,-819.0,0,94220
VEV_5100-1,65,980403.0,-830.5,0,94204
VEV_53001,50,980387.5,-846.0,0,94219
VEV_5300-1,58,980351.5,-882.0,0,94204
VEV_5400-1,50,980273.0,-960.5,0,94220
HYDROGEL_PACK-1,60,980181.5,-1052.0,0,94204
VELVETFRUIT_EXTRACT1,52,980123.5,-1110.0,0,94204
VEV_5400-1,45,980107.5,-1126.0,0,94220
VELVETFRUIT_EXTRACT-1,42,979983.5,-1250.0,0,94231
HYDROGEL_PACK1,55,979832.5,-1401.0,0,94204
VEV_54001,35,979803.5,-1430.0,0,94204
HYDROGEL_PACK-1,45,979746.5,-1487.0,0,94204
HYDROGEL_PACK-1,55,979714.5,-1519.0,0,94204
HYDROGEL_PACK-1,65,979434.5,-1799.0,0,94204
HYDROGEL_PACK1,60,979424.5,-1809.0,0,94204
VEV_52001,60,979364.5,-1869.0,0,94204
HYDROGEL_PACK1,80,979302.5,-1931.0,0,94204
VELVETFRUIT_EXTRACT1,70,979201.5,-2032.0,0,94204
HYDROGEL_PACK-1,40,979033.5,-2200.0,0,94204
VEV_52001,45,978927.5,-2306.0,0,94204
VEV_5200-1,40,978922.5,-2311.0,0,94220
HYDROGEL_PACK1,50,978706.5,-2527.0,0,94204
VELVETFRUIT_EXTRACT1,48,978563.5,-2670.0,0,94204
VEV_53001,45,978521.5,-2712.0,0,94219
VEV_5400-1,35,978502.5,-2731.0,0,94220
HYDROGEL_PACK1,70,978423.5,-2810.0,0,94204
VEV_50001,55,978346.0,-2887.5,0,94219
VELVETFRUIT_EXTRACT1,40,978277.5,-2956.0,0,94204
VEV_5200-1,65,977808.0,-3425.5,0,94220
VELVETFRUIT_EXTRACT1,42,977684.0,-3549.5,0,94204
VEV_51001,45,977629.5,-3604.0,0,94219
VEV_52001,40,977374.5,-3859.0,0,94204
VEV_52001,52,977199.0,-4034.5,0,94204
VELVETFRUIT_EXTRACT-1,45,977164.0,-4069.5,0,94231
VEV_53001,55,977048.5,-4185.0,0,94219
VEV_5300-1,40,976944.5,-4289.0,0,94204
VEV_5300-1,55,976920.5,-4313.0,0,94204
VEV_5100-1,50,976873.0,-4360.5,0,94204
VEV_52001,58,976862.5,-4371.0,0,94204
VELVETFRUIT_EXTRACT1,60,976726.5,-4507.0,0,94204
HYDROGEL_PACK-1,35,976573.5,-4660.0,0,94204
VEV_51001,60,976519.0,-4714.5,0,94219
VEV_53001,70,976389.5,-4844.0,0,94219
VEV_5200-1,70,976342.0,-4891.5,0,94220
VEV_5100-1,40,976253.5,-4980.0,0,94204
VEV_5000-1,40,976236.5,-4997.0,0,94220
VELVETFRUIT_EXTRACT1,58,976097.0,-5136.5,0,94204
VEV_5200-1,62,975946.5,-5287.0,0,94220
VEV_5100-1,42,975667.0,-5566.5,0,94204
VEV_51001,42,975572.5,-5661.0,0,94219
VEV_5300-1,50,975435.5,-5798.0,0,94204
VEV_51001,50,975434.0,-5799.5,0,94219
VEV_50001,40,975391.0,-5842.5,0,94219
VEV_53001,60,975306.5,-5927.0,0,94219
VEV_51001,48,975260.5,-5973.0,0,94219
VEV_5200-1,58,975132.5,-6101.0,0,94220
VEV_53001,65,975055.5,-6178.0,0,94219
VEV_5300-1,45,975005.5,-6228.0,0,94204
VEV_5000-1,60,975003.5,-6230.0,0,94220
VEV_51001,55,974933.0,-6300.5,0,94219
VEV_50001,60,974764.0,-6469.5,0,94219
VEV_52001,55,974669.0,-6564.5,0,94204
VEV_5200-1,45,974592.5,-6641.0,0,94220
VEV_5200-1,80,974026.5,-7207.0,0,94220
VELVETFRUIT_EXTRACT1,65,973591.0,-7642.5,0,94204
VEV_51001,65,973309.0,-7924.5,0,94219
VEV_5200-1,50,973195.5,-8038.0,0,94220
VEV_52001,65,972824.5,-8409.0,0,94204
VEV_5000-1,50,971852.5,-9381.0,0,94220
VEV_5100-1,48,971836.5,-9397.0,0,94204
VELVETFRUIT_EXTRACT1,45,971566.5,-9667.0,0,94204
VELVETFRUIT_EXTRACT-1,50,971155.0,-10078.5,0,94231
VEV_50001,35,970933.5,-10300.0,0,94219
VEV_5200-1,55,970784.0,-10449.5,0,94220
VEV_5100-1,38,970238.5,-10995.0,0,94204
VELVETFRUIT_EXTRACT-1,48,970161.0,-11072.5,0,94231
VELVETFRUIT_EXTRACT-1,65,969630.5,-11603.0,0,94231
VEV_50001,50,969602.5,-11631.0,0,94219
VEV_53001,35,969049.5,-12184.0,0,94219
VEV_5300-1,35,968060.5,-13173.0,0,94204
VEV_51001,38,967840.5,-13393.0,0,94219
VELVETFRUIT_EXTRACT1,38,967291.5,-13942.0,0,94204
VEV_5000-1,55,966648.5,-14585.0,0,94220
VELVETFRUIT_EXTRACT-1,55,965881.0,-15352.5,0,94231
VELVETFRUIT_EXTRACT-1,60,965670.0,-15563.5,0,94231
VELVETFRUIT_EXTRACT1,80,964773.0,-16460.5,0,94204
VELVETFRUIT_EXTRACT-1,38,964531.0,-16702.5,0,94231
VEV_52001,35,961948.0,-19285.5,0,94204
VEV_5100-1,35,961798.5,-19435.0,0,94204
VEV_5000-1,35,960834.0,-20399.5,0,94220
VEV_53001,30,959862.5,-21371.0,0,94219
VEV_51001,35,958486.0,-22747.5,0,94219
VEV_50001,30,957287.0,-23946.5,0,94219
VEV_5000-1,30,955126.0,-26107.5,0,94220
VEV_5200-1,35,954177.0,-27056.5,0,94220
VELVETFRUIT_EXTRACT-1,35,952200.0,-29033.5,0,94231
VELVETFRUIT_EXTRACT1,35,944528.5,-36705.0,0,94204
VEV_51001,30,937686.0,-43547.5,0,94219
VEV_5100-1,30,932407.0,-48826.5,0,94204
VELVETFRUIT_EXTRACT-1,30,925030.0,-56203.5,0,94231
VELVETFRUIT_EXTRACT-1,25,904084.0,-77149.5,0,94231
