key,val,total,delta,rc,size
VELVETFRUIT_EXTRACT-1,40,991648.5,0.0,0,94233
VEV_50001,45,991648.5,0.0,0,94221
VEV_5000-1,45,991648.5,0.0,0,94222
VEV_51001,40,991648.5,0.0,0,94221
VEV_5200-1,60,991648.5,0.0,0,94222
VEV_53001,40,991648.5,0.0,0,94221
VEV_5400-1,60,991648.5,0.0,0,94222
VEV_54001,42,991576.5,-72.0,0,94206
VEV_54001,45,991510.5,-138.0,0,94206
VEV_54001,50,991486.5,-162.0,0,94206
VEV_5100-1,80,991439.0,-209.5,0,94206
VEV_5400-1,65,991321.0,-327.5,0,94222
VEV_54001,55,991314.0,-334.5,0,94206
VEV_5100-1,58,991293.5,-355.0,0,94206
VEV_54001,48,991238.5,-410.0,0,94206
VEV_5400-1,55,991020.5,-628.0,0,94222
VELVETFRUIT_EXTRACT1,54,990940.5,-708.0,0,94206
HYDROGEL_PACK-1,60,990596.5,-1052.0,0,94206
VEV_5300-1,68,990538.5,-1110.0,0,94206
VEV_5400-1,50,990519.5,-1129.0,0,94222
VEV_5400-1,45,990427.0,-1221.5,0,94222
VEV_54001,38,990307.5,-1341.0,0,94206
HYDROGEL_PACK1,55,990247.5,-1401.0,0,94206
HYDROGEL_PACK-1,45,990161.5,-1487.0,0,94206
HYDROGEL_PACK-1,55,990129.5,-1519.0,0,94206
VEV_54001,35,990056.5,-1592.0,0,94206
HYDROGEL_PACK-1,65,989849.5,-1799.0,0,94206
HYDROGEL_PACK1,60,989839.5,-1809.0,0,94206
VEV_53001,50,989729.5,-1919.0,0,94221
HYDROGEL_PACK1,80,989717.5,-1931.0,0,94206
HYDROGEL_PACK-1,40,989448.5,-2200.0,0,94206
VEV_5300-1,72,989353.5,-2295.0,0,94206
HYDROGEL_PACK1,50,989121.5,-2527.0,0,94206
VELVETFRUIT_EXTRACT1,50,989075.0,-2573.5,0,94206
VEV_5300-1,60,989020.5,-2628.0,0,94206
VEV_5200-1,65,988871.5,-2777.0,0,94222
HYDROGEL_PACK1,70,988838.5,-2810.0,0,94206
VEV_50001,55,988761.0,-2887.5,0,94221
VEV_5300-1,80,988699.5,-2949.0,0,94206
VEV_5300-1,65,988626.5,-3022.0,0,94206
VEV_5100-1,62,988568.0,-3080.5,0,94206
VEV_52001,50,988534.0,-3114.5,0,94206
VEV_5100-1,65,988471.5,-3177.0,0,94206
VEV_53001,45,988410.5,-3238.0,0,94221
VELVETFRUIT_EXTRACT1,52,987965.0,-3683.5,0,94206
VEV_51001,45,987961.5,-3687.0,0,94221
VEV_5200-1,70,987848.5,-3800.0,0,94222
VEV_5100-1,45,987656.0,-3992.5,0,94206
VELVETFRUIT_EXTRACT-1,42,987617.0,-4031.5,0,94233
VEV_5300-1,75,987446.5,-4202.0,0,94206
VELVETFRUIT_EXTRACT1,70,987043.0,-4605.5,0,94206
VEV_53001,55,987022.5,-4626.0,0,94221
VEV_5100-1,50,986983.5,-4665.0,0,94206
VEV_52001,60,986920.0,-4728.5,0,94206
VEV_5000-1,40,986651.5,-4997.0,0,94222
VELVETFRUIT_EXTRACT1,56,986528.0,-5120.5,0,94206
VEV_5200-1,62,986342.5,-5306.0,0,94222
VEV_53001,60,986224.5,-5424.0,0,94221
VEV_52001,45,986061.0,-5587.5,0,94206
VEV_50001,40,985806.0,-5842.5,0,94221
VEV_51001,48,985619.0,-6029.5,0,94221
VEV_5000-1,60,985418.5,-6230.0,0,94222
VEV_52001,46,985360.5,-6288.0,0,94206
VEV_50001,60,985179.0,-6469.5,0,94221
VEV_5100-1,70,985086.0,-6562.5,0,94206
VEV_53001,65,984984.5,-6664.0,0,94221
VEV_52001,40,984743.0,-6905.5,0,94206
VEV_5200-1,80,984645.0,-7003.5,0,94222
VELVETFRUIT_EXTRACT1,60,984568.0,-7080.5,0,94206
VEV_52001,52,984499.0,-7149.5,0,94206
VEV_51001,42,984381.5,-7267.0,0,94221
VEV_5300-1,90,984378.5,-7270.0,0,94206
VEV_52001,42,984317.5,-7331.0,0,94206
VEV_5300-1,55,984172.5,-7476.0,0,94206
VEV_51001,50,984047.0,-7601.5,0,94221
VEV_5100-1,55,984038.5,-7610.0,0,94206
VEV_5200-1,45,984008.0,-7640.5,0,94222
VELVETFRUIT_EXTRACT1,58,983938.5,-7710.0,0,94206
VEV_5200-1,50,983715.0,-7933.5,0,94222
VEV_5200-1,58,983613.5,-8035.0,0,94222
VEV_51001,55,982993.0,-8655.5,0,94221
VELVETFRUIT_EXTRACT-1,45,982455.0,-9193.5,0,94233
VEV_5000-1,50,982267.5,-9381.0,0,94222
VEV_52001,55,981990.5,-9658.0,0,94206
VELVETFRUIT_EXTRACT1,65,981432.5,-10216.0,0,94206
VEV_50001,35,981348.5,-10300.0,0,94221
VEV_5200-1,55,980373.0,-11275.5,0,94222
VEV_52001,65,980294.0,-11354.5,0,94206
VEV_50001,50,980017.5,-11631.0,0,94221
VELVETFRUIT_EXTRACT1,45,979408.0,-12240.5,0,94206
VEV_53001,35,978936.5,-12712.0,0,94221
VELVETFRUIT_EXTRACT-1,48,978581.0,-13067.5,0,94233
VEV_51001,38,977956.0,-13692.5,0,94221
VEV_5000-1,55,977063.5,-14585.0,0,94222
VELVETFRUIT_EXTRACT-1,50,976828.5,-14820.0,0,94233
VELVETFRUIT_EXTRACT-1,55,972038.5,-19610.0,0,94233
VELVETFRUIT_EXTRACT-1,60,971873.5,-19775.0,0,94233
VEV_5000-1,35,971249.0,-20399.5,0,94222
VELVETFRUIT_EXTRACT-1,38,970714.5,-20934.0,0,94233
VEV_51001,35,968914.0,-22734.5,0,94221
VELVETFRUIT_EXTRACT-1,35,960537.0,-31111.5,0,94233
VELVETFRUIT_EXTRACT-1,30,932967.0,-58681.5,0,94233
