product,cap,total,product_total,rc
HYDROGEL_PACK,50,950530.0,25886.0,0
HYDROGEL_PACK,100,957399.0,32755.0,0
HYDROGEL_PACK,150,961058.0,36414.0,0
HYDROGEL_PACK,200,963001.0,38357.0,0
VELVETFRUIT_EXTRACT,60,771332.5,92042.5,0
VELVETFRUIT_EXTRACT,100,829297.0,150007.0,0
VELVETFRUIT_EXTRACT,150,891042.0,211752.0,0
VELVETFRUIT_EXTRACT,200,963001.0,283711.0,0
VEV_4000,120,963001.0,283.0,0
VEV_4000,180,963001.0,283.0,0
VEV_4000,240,963001.0,283.0,0
VEV_4000,300,963001.0,283.0,0
VEV_4500,120,963001.0,819.0,0
VEV_4500,180,963001.0,819.0,0
VEV_4500,240,963001.0,819.0,0
VEV_4500,300,963001.0,819.0,0
VEV_5000,120,919741.5,90855.0,0
VEV_5000,180,940662.0,111775.5,0
VEV_5000,240,952831.5,123945.0,0
VEV_5000,300,963001.0,134114.5,0
VEV_5100,120,847965.0,112792.5,0
VEV_5100,180,892083.5,156911.0,0
VEV_5100,240,925899.0,190726.5,0
VEV_5100,300,963001.0,227828.5,0
VEV_5200,120,868116.5,99679.0,0
VEV_5200,180,908802.5,140365.0,0
VEV_5200,240,939483.0,171045.5,0
VEV_5200,300,963001.0,194563.5,0
VEV_5300,120,928478.0,38174.0,0
VEV_5300,180,943254.0,52950.0,0
VEV_5300,240,953064.0,62760.0,0
VEV_5300,300,963001.0,72697.0,0
VEV_5400,120,959389.0,6813.5,0
VEV_5400,180,961512.0,8936.5,0
VEV_5400,240,962665.5,10090.0,0
VEV_5400,300,963001.0,10425.5,0
VEV_5500,120,963001.0,202.0,0
VEV_5500,180,963001.0,202.0,0
VEV_5500,240,963001.0,202.0,0
VEV_5500,300,963001.0,202.0,0
