product,thr,horizon,total,product_total,rc
HYDROGEL_PACK,0,40,959253.0,34609.0,0
HYDROGEL_PACK,0,42,961079.0,36435.0,0
HYDROGEL_PACK,0,44,958104.0,33460.0,0
HYDROGEL_PACK,0,45,961344.0,36700.0,0
HYDROGEL_PACK,0,46,958341.0,33697.0,0
HYDROGEL_PACK,0,48,958531.0,33887.0,0
HYDROGEL_PACK,0,50,960937.0,36293.0,0
HYDROGEL_PACK,0,52,963001.0,38357.0,0
HYDROGEL_PACK,0,55,960534.0,35890.0,0
HYDROGEL_PACK,0,60,960873.0,36229.0,0
HYDROGEL_PACK,0.25,40,959253.0,34609.0,0
HYDROGEL_PACK,0.25,42,961079.0,36435.0,0
HYDROGEL_PACK,0.25,44,958104.0,33460.0,0
HYDROGEL_PACK,0.25,45,961344.0,36700.0,0
HYDROGEL_PACK,0.25,46,958341.0,33697.0,0
HYDROGEL_PACK,0.25,48,958531.0,33887.0,0
HYDROGEL_PACK,0.25,50,960937.0,36293.0,0
HYDROGEL_PACK,0.25,52,963001.0,38357.0,0
HYDROGEL_PACK,0.25,55,960534.0,35890.0,0
HYDROGEL_PACK,0.25,60,960873.0,36229.0,0
HYDROGEL_PACK,0.5,40,958051.0,33407.0,0
HYDROGEL_PACK,0.5,42,959325.0,34681.0,0
HYDROGEL_PACK,0.5,44,956442.0,31798.0,0
HYDROGEL_PACK,0.5,45,959429.0,34785.0,0
HYDROGEL_PACK,0.5,46,956616.0,31972.0,0
HYDROGEL_PACK,0.5,48,956802.0,32158.0,0
HYDROGEL_PACK,0.5,50,959341.0,34697.0,0
HYDROGEL_PACK,0.5,52,961157.0,36513.0,0
HYDROGEL_PACK,0.5,55,958787.0,34143.0,0
HYDROGEL_PACK,0.5,60,960020.0,35376.0,0
HYDROGEL_PACK,0.75,40,957778.0,33134.0,0
HYDROGEL_PACK,0.75,42,958965.0,34321.0,0
HYDROGEL_PACK,0.75,44,956493.0,31849.0,0
HYDROGEL_PACK,0.75,45,959845.0,35201.0,0
HYDROGEL_PACK,0.75,46,956542.0,31898.0,0
HYDROGEL_PACK,0.75,48,956383.0,31739.0,0
HYDROGEL_PACK,0.75,50,959136.0,34492.0,0
HYDROGEL_PACK,0.75,52,961115.0,36471.0,0
HYDROGEL_PACK,0.75,55,958938.0,34294.0,0
HYDROGEL_PACK,0.75,60,960337.0,35693.0,0
HYDROGEL_PACK,1,40,957699.0,33055.0,0
HYDROGEL_PACK,1,42,958615.0,33971.0,0
