product,horizon,total,product_total,rc
HYDROGEL_PACK,10,887308.5,-29975.0,0
HYDROGEL_PACK,20,908443.5,-8840.0,0
HYDROGEL_PACK,30,933403.5,16120.0,0
HYDROGEL_PACK,35,943294.5,26011.0,0
HYDROGEL_PACK,40,951892.5,34609.0,0
HYDROGEL_PACK,45,953983.5,36700.0,0
HYDROGEL_PACK,50,953576.5,36293.0,0
HYDROGEL_PACK,60,953512.5,36229.0,0
HYDROGEL_PACK,80,951479.5,34196.0,0
HYDROGEL_PACK,100,950113.5,32830.0,0
VELVETFRUIT_EXTRACT,10,647445.5,-20736.0,0
VELVETFRUIT_EXTRACT,20,781697.0,113515.5,0
VELVETFRUIT_EXTRACT,30,837843.0,169661.5,0
VELVETFRUIT_EXTRACT,35,885554.0,217372.5,0
VELVETFRUIT_EXTRACT,40,951892.5,283711.0,0
VELVETFRUIT_EXTRACT,45,936803.5,268622.0,0
VELVETFRUIT_EXTRACT,50,938747.0,270565.5,0
VELVETFRUIT_EXTRACT,60,937553.5,269372.0,0
VELVETFRUIT_EXTRACT,80,940918.0,272736.5,0
VELVETFRUIT_EXTRACT,100,937572.0,269390.5,0
VEV_4000,10,950932.0,-711.5,0
VEV_4000,20,951275.5,-368.0,0
VEV_4000,30,951561.5,-82.0,0
VEV_4000,35,951903.5,260.0,0
VEV_4000,40,951892.5,249.0,0
VEV_4000,45,951813.0,169.5,0
VEV_4000,50,951835.5,192.0,0
VEV_4000,60,951926.5,283.0,0
VEV_4000,80,951811.5,168.0,0
VEV_4000,100,951705.5,62.0,0
VEV_4500,10,949726.5,-1347.0,0
VEV_4500,20,950451.5,-622.0,0
VEV_4500,30,951248.0,174.5,0
VEV_4500,35,951566.5,493.0,0
VEV_4500,40,951892.5,819.0,0
VEV_4500,45,951764.5,691.0,0
VEV_4500,50,951819.0,745.5,0
VEV_4500,60,951888.5,815.0,0
VEV_4500,80,951767.5,694.0,0
VEV_4500,100,951850.0,776.5,0
VEV_5000,10,802022.0,-21359.0,0
VEV_5000,20,865332.5,41951.5,0
VEV_5000,30,915078.0,91697.0,0
VEV_5000,35,930182.5,106801.5,0
VEV_5000,40,951892.5,128511.5,0
VEV_5000,45,957495.5,134114.5,0
VEV_5000,50,942346.0,118965.0,0
VEV_5000,60,951359.5,127978.5,0
VEV_5000,80,943963.0,120582.0,0
VEV_5000,100,948007.0,124626.0,0
VEV_5100,10,678963.0,-45101.0,0
VEV_5100,20,777385.0,53321.0,0
VEV_5100,30,869278.0,145214.0,0
VEV_5100,35,916943.5,192879.5,0
VEV_5100,40,951892.5,227828.5,0
VEV_5100,45,948783.0,224719.0,0
VEV_5100,50,946166.5,222102.5,0
VEV_5100,60,947728.0,223664.0,0
VEV_5100,80,939051.5,214987.5,0
VEV_5100,100,933667.0,209603.0,0
VEV_5200,10,707191.5,-51351.0,0
VEV_5200,20,801091.0,42548.5,0
VEV_5200,30,878778.5,120236.0,0
VEV_5200,35,911427.0,152884.5,0
VEV_5200,40,951892.5,193350.0,0
VEV_5200,45,947656.5,189114.0,0
VEV_5200,50,947892.5,189350.0,0
VEV_5200,60,953106.0,194563.5,0
VEV_5200,80,941248.5,182706.0,0
VEV_5200,100,926848.5,168306.0,0
VEV_5300,10,846092.5,-33103.0,0
VEV_5300,20,881598.5,2403.0,0
VEV_5300,30,917423.5,38228.0,0
VEV_5300,35,933888.5,54693.0,0
VEV_5300,40,951892.5,72697.0,0
VEV_5300,45,949105.5,69910.0,0
VEV_5300,50,950295.5,71100.0,0
VEV_5300,60,950521.5,71326.0,0
VEV_5300,80,948671.5,69476.0,0
VEV_5300,100,940017.5,60822.0,0
VEV_5400,10,936593.0,-5384.0,0
VEV_5400,20,941466.5,-510.5,0
VEV_5400,30,946129.0,4152.0,0
VEV_5400,35,948505.5,6528.5,0
VEV_5400,40,951892.5,9915.5,0
VEV_5400,45,951431.0,9454.0,0
VEV_5400,50,951725.0,9748.0,0
VEV_5400,60,952402.5,10425.5,0
VEV_5400,80,950354.0,8377.0,0
VEV_5400,100,950223.0,8246.0,0
VEV_5500,10,951586.0,-104.5,0
VEV_5500,20,951698.5,8.0,0
VEV_5500,30,951751.5,61.0,0
VEV_5500,35,951806.0,115.5,0
VEV_5500,40,951892.5,202.0,0
VEV_5500,45,951839.5,149.0,0
VEV_5500,50,951804.5,114.0,0
VEV_5500,60,951780.5,90.0,0
VEV_5500,80,951794.5,104.0,0
VEV_5500,100,951795.0,104.5,0
