product,thr,total,product_total,rc
HYDROGEL_PACK,0,918142.0,34609.0,0
HYDROGEL_PACK,0.25,918142.0,34609.0,0
HYDROGEL_PACK,0.5,916940.0,33407.0,0
HYDROGEL_PACK,0.625,916577.0,33044.0,0
HYDROGEL_PACK,0.75,916667.0,33134.0,0
HYDROGEL_PACK,0.875,916588.0,33055.0,0
HYDROGEL_PACK,1,916588.0,33055.0,0
HYDROGEL_PACK,1.125,918134.0,34601.0,0
HYDROGEL_PACK,1.25,917182.0,33649.0,0
HYDROGEL_PACK,1.5,917182.0,33649.0,0
HYDROGEL_PACK,2,917174.0,33641.0,0
HYDROGEL_PACK,2.5,912317.0,28784.0,0
HYDROGEL_PACK,3,911930.0,28397.0,0
HYDROGEL_PACK,4,909612.0,26079.0,0
HYDROGEL_PACK,5,906379.0,22846.0,0
VELVETFRUIT_EXTRACT,0,897148.0,235648.0,0
VELVETFRUIT_EXTRACT,0.25,899016.5,237516.5,0
VELVETFRUIT_EXTRACT,0.5,905660.5,244160.5,0
VELVETFRUIT_EXTRACT,0.625,915557.0,254057.0,0
VELVETFRUIT_EXTRACT,0.75,916667.0,255167.0,0
VELVETFRUIT_EXTRACT,0.875,918268.0,256768.0,0
VELVETFRUIT_EXTRACT,1,918268.0,256768.0,0
VELVETFRUIT_EXTRACT,1.125,938854.5,277354.5,0
VELVETFRUIT_EXTRACT,1.25,939579.5,278079.5,0
VELVETFRUIT_EXTRACT,1.5,942914.5,281414.5,0
VELVETFRUIT_EXTRACT,2,945211.0,283711.0,0
VELVETFRUIT_EXTRACT,2.5,940727.5,279227.5,0
VELVETFRUIT_EXTRACT,3,940503.5,279003.5,0
VELVETFRUIT_EXTRACT,4,920699.0,259199.0,0
VELVETFRUIT_EXTRACT,5,885603.0,224103.0,0
VEV_4000,0,916667.0,249.0,0
VEV_4000,0.25,916667.0,249.0,0
VEV_4000,0.5,916667.0,249.0,0
VEV_4000,0.625,916667.0,249.0,0
VEV_4000,0.75,916667.0,249.0,0
VEV_4000,0.875,916667.0,249.0,0
VEV_4000,1,916667.0,249.0,0
VEV_4000,1.125,916642.5,224.5,0
VEV_4000,1.25,916642.5,224.5,0
VEV_4000,1.5,916642.5,224.5,0
VEV_4000,2,916642.5,224.5,0
VEV_4000,2.5,916635.0,217.0,0
VEV_4000,3,916635.0,217.0,0
VEV_4000,4,916626.0,208.0,0
VEV_4000,5,916598.0,180.0,0
VEV_4500,0,916667.0,819.0,0
VEV_4500,0.25,916667.0,819.0,0
VEV_4500,0.5,916667.0,819.0,0
VEV_4500,0.625,916667.0,819.0,0
VEV_4500,0.75,916667.0,819.0,0
VEV_4500,0.875,916667.0,819.0,0
VEV_4500,1,916667.0,819.0,0
VEV_4500,1.125,916606.0,758.0,0
VEV_4500,1.25,916606.0,758.0,0
VEV_4500,1.5,916606.0,758.0,0
VEV_4500,2,916606.0,758.0,0
VEV_4500,2.5,916488.0,640.0,0
VEV_4500,3,916488.0,640.0,0
VEV_4500,4,916446.0,598.0,0
VEV_4500,5,916358.0,510.0,0
VEV_5000,0,914799.0,126165.5,0
VEV_5000,0.25,915367.0,126733.5,0
VEV_5000,0.5,916210.0,127576.5,0
VEV_5000,0.625,914418.5,125785.0,0
VEV_5000,0.75,916667.0,128033.5,0
