product,side,horizon,total,product_total,rc,size,err
HYDROGEL_PACK,-1,45,965624.0,36992.0,0,94085,
HYDROGEL_PACK,-1,50,967166.0,38534.0,0,94085,
HYDROGEL_PACK,-1,52,966989.0,38357.0,0,94085,
HYDROGEL_PACK,-1,55,965228.0,36596.0,0,94085,
HYDROGEL_PACK,-1,60,966224.0,37592.0,0,94085,
HYDROGEL_PACK,-1,65,965276.0,36644.0,0,94085,
HYDROGEL_PACK,-1,70,965701.0,37069.0,0,94085,
HYDROGEL_PACK,1,45,967001.0,38369.0,0,94084,
HYDROGEL_PACK,1,50,964913.0,36281.0,0,94084,
HYDROGEL_PACK,1,52,966989.0,38357.0,0,94084,
HYDROGEL_PACK,1,55,965557.0,36925.0,0,94084,
HYDROGEL_PACK,1,60,965841.0,37209.0,0,94084,
HYDROGEL_PACK,1,65,967511.0,38879.0,0,94084,
HYDROGEL_PACK,1,70,964802.0,36170.0,0,94084,
VELVETFRUIT_EXTRACT,-1,35,937704.5,254507.0,0,94091,
VELVETFRUIT_EXTRACT,-1,38,945385.0,262187.5,0,94091,
VELVETFRUIT_EXTRACT,-1,40,966989.0,283791.5,0,94064,
VELVETFRUIT_EXTRACT,-1,42,964319.0,281121.5,0,94091,
VELVETFRUIT_EXTRACT,-1,45,959990.0,276792.5,0,94091,
VELVETFRUIT_EXTRACT,-1,50,954280.0,271082.5,0,94091,
VELVETFRUIT_EXTRACT,1,35,931831.0,248633.5,0,94090,
VELVETFRUIT_EXTRACT,1,38,954993.5,271796.0,0,94090,
VELVETFRUIT_EXTRACT,1,40,966989.0,283791.5,0,94064,
VELVETFRUIT_EXTRACT,1,42,964329.0,281131.5,0,94090,
VELVETFRUIT_EXTRACT,1,45,959574.0,276376.5,0,94090,
VELVETFRUIT_EXTRACT,1,50,967294.0,284096.5,0,94090,
VEV_5000,-1,38,954351.0,123332.0,0,94080,
VEV_5000,-1,40,966989.0,135970.0,0,94064,
VEV_5000,-1,42,959416.5,128397.5,0,94080,
VEV_5000,-1,45,966989.0,135970.0,0,94080,
VEV_5000,-1,48,964038.5,133019.5,0,94080,
VEV_5000,-1,50,957608.0,126589.0,0,94080,
VEV_5000,-1,55,952404.0,121385.0,0,94080,
VEV_5000,-1,60,960759.0,129740.0,0,94080,
VEV_5000,1,38,954706.5,123687.5,0,94079,
VEV_5000,1,40,966989.0,135970.0,0,94064,
VEV_5000,1,42,961341.5,130322.5,0,94079,
VEV_5000,1,45,966989.0,135970.0,0,94079,
VEV_5000,1,48,958172.0,127153.0,0,94079,
VEV_5000,1,50,955358.0,124339.0,0,94079,
VEV_5000,1,55,964101.5,133082.5,0,94079,
VEV_5000,1,60,960519.5,129500.5,0,94079,
VEV_5100,-1,35,951575.5,212586.0,0,94080,
VEV_5100,-1,38,961942.0,222952.5,0,94080,
VEV_5100,-1,40,966989.0,227999.5,0,94064,
VEV_5100,-1,42,964657.5,225668.0,0,94080,
VEV_5100,-1,45,969930.0,230940.5,0,94080,
VEV_5100,-1,50,969257.5,230268.0,0,94080,
VEV_5100,1,35,941795.5,202806.0,0,94079,
VEV_5100,1,38,952851.0,213861.5,0,94079,
VEV_5100,1,40,966989.0,227999.5,0,94064,
VEV_5100,1,42,960152.5,221163.0,0,94079,
VEV_5100,1,45,961649.5,222660.0,0,94079,
VEV_5100,1,50,960755.0,221765.5,0,94079,
VEV_5200,-1,50,962648.0,191519.5,0,94080,
VEV_5200,-1,55,957660.5,186532.0,0,94080,
VEV_5200,-1,60,966989.0,195860.5,0,94080,
VEV_5200,-1,65,966025.5,194897.0,0,94080,
VEV_5200,-1,70,962556.0,191427.5,0,94080,
VEV_5200,1,50,968858.0,197729.5,0,94079,
VEV_5200,1,55,962293.5,191165.0,0,94079,
VEV_5200,1,60,966989.0,195860.5,0,94079,
VEV_5200,1,65,960449.0,189320.5,0,94079,
VEV_5200,1,70,968852.0,197723.5,0,94079,
VEV_5300,-1,35,958105.0,64397.0,0,94080,
VEV_5300,-1,38,960152.0,66444.0,0,94080,
VEV_5300,-1,40,966989.0,73281.0,0,94064,
VEV_5300,-1,42,965294.0,71586.0,0,94080,
VEV_5300,-1,45,965050.0,71342.0,0,94080,
VEV_5300,-1,50,965480.0,71772.0,0,94080,
VEV_5300,-1,60,971278.0,77570.0,0,94080,
VEV_5300,1,35,955230.0,61522.0,0,94079,
VEV_5300,1,38,962542.0,68834.0,0,94079,
VEV_5300,1,40,966989.0,73281.0,0,94064,
VEV_5300,1,42,965312.0,71604.0,0,94079,
VEV_5300,1,45,964731.0,71023.0,0,94079,
VEV_5300,1,50,965241.0,71533.0,0,94079,
VEV_5300,1,60,964401.0,70693.0,0,94079,
VEV_5400,-1,50,966107.0,9543.5,0,94080,
VEV_5400,-1,55,966668.5,10105.0,0,94080,
VEV_5400,-1,60,966989.0,10425.5,0,94080,
VEV_5400,-1,65,966839.0,10275.5,0,94080,
VEV_5400,-1,70,966792.5,10229.0,0,94080,
VEV_5400,1,50,967271.0,10707.5,0,94079,
VEV_5400,1,55,967068.5,10505.0,0,94079,
VEV_5400,1,60,966989.0,10425.5,0,94079,
VEV_5400,1,65,967104.5,10541.0,0,94079,
VEV_5400,1,70,966479.0,9915.5,0,94079,
