mode,edge,total,d1,d2,d3,rc,size,err
mom,1,977138.0,326089.5,289858.0,361190.5,0,94178,
mom,2,977138.0,326089.5,289858.0,361190.5,0,94178,
mom,3,977138.0,326089.5,289858.0,361190.5,0,94178,
mom,8,977138.0,326089.5,289858.0,361190.5,0,94178,
mom,0,977138.0,326089.5,289858.0,361190.5,0,94178,
mom,5,977138.0,326089.5,289858.0,361190.5,0,94178,
mom,13,977138.0,326089.5,289858.0,361190.5,0,94179,
rev,0,977138.0,326089.5,289858.0,361190.5,0,94178,
rev,2,977138.0,326089.5,289858.0,361190.5,0,94178,
rev,1,977138.0,326089.5,289858.0,361190.5,0,94178,
mom,21,977138.0,326089.5,289858.0,361190.5,0,94179,
rev,3,977138.0,326089.5,289858.0,361190.5,0,94178,
rev,5,977138.0,326089.5,289858.0,361190.5,0,94178,
rev,8,977138.0,326089.5,289858.0,361190.5,0,94178,
rev,13,977138.0,326089.5,289858.0,361190.5,0,94179,
rev,21,977138.0,326089.5,289858.0,361190.5,0,94179,
