key,val,total,delta,rc,size
VEV_5100-1,0.75,991496.5,2203.5,0,94205
VEV_5100-1,0.875,991059.5,1766.5,0,94206
VEV_5100-1,1,991059.5,1766.5,0,94202
VEV_5100-1,0.625,990062.0,769.0,0,94206
VEV_5200-1,0.875,989386.0,93.0,0,94208
VEV_5100-1,0.25,989378.0,85.0,0,94205
VEV_5300-1,0,989352.0,59.0,0,94201
VEV_5300-1,0.125,989352.0,59.0,0,94205
VEV_51001,0.875,989338.0,45.0,0,94208
VELVETFRUIT_EXTRACT1,2.75,989293.0,0.0,0,94207
VELVETFRUIT_EXTRACT-1,1.75,989293.0,0.0,0,94207
VEV_50001,0.875,989293.0,0.0,0,94222
VEV_50001,1,989293.0,0.0,0,94218
VEV_53001,0,989293.0,0.0,0,94218
VEV_5400-1,0,989293.0,0.0,0,94219
VEV_5400-1,0.125,989293.0,0.0,0,94223
HYDROGEL_PACK1,0,989293.0,0.0,0,94223
HYDROGEL_PACK1,0.25,989293.0,0.0,0,94226
HYDROGEL_PACK-1,0,989293.0,0.0,0,94224
HYDROGEL_PACK-1,0.25,989293.0,0.0,0,94227
HYDROGEL_PACK-1,0.5,989293.0,0.0,0,94226
VEV_5100-1,0.375,989283.0,-10.0,0,94206
VEV_5300-1,0.375,989252.0,-41.0,0,94205
VEV_54001,0,989243.0,-50.0,0,94201
VEV_54001,0.125,989243.0,-50.0,0,94205
HYDROGEL_PACK-1,1.25,989218.0,-75.0,0,94227
HYDROGEL_PACK-1,1.5,989218.0,-75.0,0,94226
HYDROGEL_PACK-1,2,989207.0,-86.0,0,94224
VEV_51001,0.75,989070.5,-222.5,0,94207
VEV_5100-1,0,988989.0,-304.0,0,94202
VEV_54001,0.375,988900.0,-393.0,0,94205
HYDROGEL_PACK-1,0.75,988857.0,-436.0,0,94227
HYDROGEL_PACK-1,1,988857.0,-436.0,0,94224
VEV_5400-1,0.25,988827.0,-466.0,0,94222
VEV_52001,0.75,988819.0,-474.0,0,94203
VEV_51001,0.625,988751.0,-542.0,0,94208
VEV_54001,0.5,988715.0,-578.0,0,94203
VEV_5300-1,0.5,988672.0,-621.0,0,94203
VEV_50001,0.75,988519.0,-774.0,0,94221
VEV_5200-1,0.75,988481.0,-812.0,0,94207
VEV_54001,0.625,988344.0,-949.0,0,94205
VEV_53001,0.25,988260.0,-1033.0,0,94221
VEV_5400-1,0.5,988129.5,-1163.5,0,94221
VEV_5000-1,0.25,988096.0,-1197.0,0,94205
VEV_5200-1,0.625,988087.0,-1206.0,0,94208
HYDROGEL_PACK1,1,988055.0,-1238.0,0,94223
VEV_54001,0.75,987978.0,-1315.0,0,94204
HYDROGEL_PACK1,0.5,987962.0,-1331.0,0,94225
VEV_5000-1,0,987937.0,-1356.0,0,94202
VEV_5400-1,0.75,987850.5,-1442.5,0,94222
VEV_5000-1,0.75,987824.0,-1469.0,0,94205
HYDROGEL_PACK1,0.75,987817.0,-1476.0,0,94226
VEV_5400-1,1,987575.0,-1718.0,0,94219
VEV_52001,0.875,987548.0,-1745.0,0,94204
VEV_52001,1,987548.0,-1745.0,0,94200
VEV_54001,1,987531.0,-1762.0,0,94201
HYDROGEL_PACK-1,3,987508.0,-1785.0,0,94224
VEV_5000-1,0.625,987451.5,-1841.5,0,94206
VEV_5000-1,0.875,987437.5,-1855.5,0,94206
VEV_5000-1,1,987437.5,-1855.5,0,94202
VELVETFRUIT_EXTRACT1,2.5,987185.0,-2108.0,0,94206
VEV_50001,0.625,987111.0,-2182.0,0,94222
HYDROGEL_PACK1,1.25,987101.0,-2192.0,0,94226
HYDROGEL_PACK1,1.5,987101.0,-2192.0,0,94225
VELVETFRUIT_EXTRACT1,2,987089.5,-2203.5,0,94204
HYDROGEL_PACK1,2,987007.0,-2286.0,0,94223
VELVETFRUIT_EXTRACT1,2.25,986916.0,-2377.0,0,94207
VEV_50001,0.5,986850.0,-2443.0,0,94220
VEV_5200-1,0.5,986342.0,-2951.0,0,94206
VEV_51001,0.5,986221.0,-3072.0,0,94206
VEV_50001,0.25,985971.5,-3321.5,0,94221
VEV_52001,0.5,985910.0,-3383.0,0,94202
VEV_5300-1,0.625,985869.0,-3424.0,0,94205
VEV_53001,0.5,985637.0,-3656.0,0,94220
VEV_50001,0,985587.5,-3705.5,0,94218
VEV_51001,0.25,985524.5,-3768.5,0,94207
VELVETFRUIT_EXTRACT-1,1.5,985451.0,-3842.0,0,94206
VEV_52001,0,984244.0,-5049.0,0,94200
VEV_52001,0.25,984099.0,-5194.0,0,94203
VEV_5300-1,0.75,984005.0,-5288.0,0,94204
VELVETFRUIT_EXTRACT-1,1.25,983047.0,-6246.0,0,94207
VEV_5200-1,0.25,982564.0,-6729.0,0,94207
VEV_53001,0.625,982319.0,-6974.0,0,94222
VEV_5300-1,0.875,982126.0,-7167.0,0,94205
VEV_5300-1,1,982007.0,-7286.0,0,94201
HYDROGEL_PACK1,3,981529.0,-7764.0,0,94223
VELVETFRUIT_EXTRACT-1,2.5,980632.5,-8660.5,0,94206
VEV_53001,0.75,980414.0,-8879.0,0,94221
VELVETFRUIT_EXTRACT-1,2.25,980121.0,-9172.0,0,94207
VELVETFRUIT_EXTRACT-1,3,979967.5,-9325.5,0,94204
VELVETFRUIT_EXTRACT-1,2.75,979930.5,-9362.5,0,94207
VEV_53001,0.875,978439.0,-10854.0,0,94222
VEV_53001,1,978439.0,-10854.0,0,94218
VEV_51001,1.125,977945.5,-11347.5,0,94208
VEV_5200-1,1.125,977731.0,-11562.0,0,94208
VEV_51001,1.25,977708.5,-11584.5,0,94207
VEV_5200-1,1.25,977546.0,-11747.0,0,94207
VEV_51001,1.5,977272.5,-12020.5,0,94206
VEV_5200-1,1.5,976876.0,-12417.0,0,94206
VEV_50001,1.125,972290.5,-17002.5,0,94222
VEV_52001,1.25,972259.5,-17033.5,0,94203
VEV_52001,1.125,971424.0,-17869.0,0,94204
VEV_50001,1.5,970965.0,-18328.0,0,94220
VEV_50001,1.25,970905.0,-18388.0,0,94221
VEV_52001,1.5,970549.0,-18744.0,0,94202
VEV_5100-1,1.125,969438.0,-19855.0,0,94206
VEV_5100-1,1.25,969438.0,-19855.0,0,94205
VELVETFRUIT_EXTRACT-1,4,969191.0,-20102.0,0,94204
VEV_5000-1,1.125,967606.0,-21687.0,0,94206
VEV_5000-1,1.25,967606.0,-21687.0,0,94205
VEV_5100-1,1.5,967230.0,-22063.0,0,94204
VEV_52001,2,965714.0,-23579.0,0,94200
VEV_5200-1,2,965283.0,-24010.0,0,94204
VEV_51001,2,964971.5,-24321.5,0,94204
VEV_5000-1,1.5,964741.5,-24551.5,0,94204
VEV_5300-1,1.25,961553.0,-27740.0,0,94204
VELVETFRUIT_EXTRACT1,3.5,961067.0,-28226.0,0,94206
VELVETFRUIT_EXTRACT1,3.25,960899.0,-28394.0,0,94207
VEV_53001,1.25,959427.0,-29866.0,0,94221
VELVETFRUIT_EXTRACT1,4,958278.5,-31014.5,0,94204
VEV_53001,1.5,957950.0,-31343.0,0,94220
VELVETFRUIT_EXTRACT1,5,923920.0,-65373.0,0,94204
