name,mw,iw,ft,take,total,d1,d2,d3,rc,path
iw_m0p25,0,-0.25,None,None,739837.0,272423.0,203371.0,264043.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_alpha/iw_m0p25.py
mix_mw0p5_iw0p25,0.5,0.25,None,None,738578.0,281176.0,198476.0,258926.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_alpha/mix_mw0p5_iw0p25.py
iw_m0p5,0,-0.5,None,None,738082.0,288968.0,194748.0,254366.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_alpha/iw_m0p5.py
mix_mw2_iw0p1,2,0.1,None,None,736602.0,284687.0,196236.0,255679.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_alpha/mix_mw2_iw0p1.py
mix_mw1p5_iw0p1,1.5,0.1,None,None,736496.0,278504.0,198551.0,259441.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_alpha/mix_mw1p5_iw0p1.py
mix_mw0p5_iwm0p25,0.5,-0.25,None,None,736341.0,265103.0,204624.0,266614.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_alpha/mix_mw0p5_iwm0p25.py
mw_1,1,0,None,None,735824.0,266170.0,204304.0,265350.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_alpha/mw_1.py
iw_m0p1,0,-0.1,None,None,735402.0,262881.0,204908.0,267613.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_alpha/iw_m0p1.py
mix_mw1_iwm0p25,1,-0.25,None,None,735270.0,263288.0,204987.0,266995.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_alpha/mix_mw1_iwm0p25.py
mix_mw0p5_iw0p1,0.5,0.1,None,None,735252.0,267104.0,203873.0,264275.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_alpha/mix_mw0p5_iw0p1.py
mw_0p5,0.5,0,None,None,734845.0,264990.0,204438.0,265417.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_alpha/mw_0p5.py
mix_mw1_iw0p25,1,0.25,None,None,734763.0,284408.0,195389.0,254966.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_alpha/mix_mw1_iw0p25.py
filter_2p0,0,0,2.0,None,734445.0,261631.0,205609.0,267205.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_alpha/filter_2p0.py
take_24,0,0,None,24,734419.0,266703.0,195051.0,272665.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_alpha/take_24.py
mix_mw1p5_iwm0p1,1.5,-0.1,None,None,734107.0,264846.0,203760.0,265501.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_alpha/mix_mw1p5_iwm0p1.py
mw_1p5,1.5,0,None,None,734015.0,269328.0,201839.0,262848.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_alpha/mw_1p5.py
mw_0,0,0,None,None,733969.0,261612.0,205530.0,266827.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_alpha/mw_0.py
take_17,0,0,None,17,733969.0,261612.0,205530.0,266827.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_alpha/take_17.py
iw_0p25,0,0.25,None,None,733831.0,270024.0,201333.0,262474.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_alpha/iw_0p25.py
mix_mw1_iwm0p1,1,-0.1,None,None,733813.0,262346.0,205800.0,265667.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_alpha/mix_mw1_iwm0p1.py
mw_3,3,0,None,None,733510.0,286660.0,194794.0,252056.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_alpha/mw_3.py
iw_0p1,0,0.1,None,None,733283.0,263927.0,204099.0,265257.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_alpha/iw_0p1.py
mix_mw0p5_iwm0p1,0.5,-0.1,None,None,733253.0,261696.0,205487.0,266070.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_alpha/mix_mw0p5_iwm0p1.py
mix_mw1p5_iwm0p25,1.5,-0.25,None,None,732668.0,263283.0,204445.0,264940.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_alpha/mix_mw1p5_iwm0p25.py
mix_mw1_iw0p1,1,0.1,None,None,732203.0,269111.0,200962.0,262130.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_alpha/mix_mw1_iw0p1.py
mix_mw2_iwm0p25,2,-0.25,None,None,732175.0,261383.0,205120.0,265672.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_alpha/mix_mw2_iwm0p25.py
mw_2,2,0,None,None,732061.0,272399.0,199422.0,260240.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_alpha/mw_2.py
mix_mw2_iwm0p1,2,-0.1,None,None,731896.0,265078.0,202996.0,263822.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_alpha/mix_mw2_iwm0p1.py
take_32,0,0,None,32,731600.0,268261.0,191203.0,272136.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_alpha/take_32.py
mix_mw1p5_iw0p25,1.5,0.25,None,None,729230.0,286513.0,192752.0,249965.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_alpha/mix_mw1p5_iw0p25.py
iw_0p5,0,0.5,None,None,726913.0,289002.0,188944.0,248967.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_alpha/iw_0p5.py
take_12,0,0,None,12,726587.0,255819.0,212517.0,258251.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_alpha/take_12.py
mix_mw2_iw0p25,2,0.25,None,None,725877.0,290193.0,188944.0,246740.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_alpha/mix_mw2_iw0p25.py
filter_0p5,0,0,0.5,None,721502.0,250607.0,209108.0,261787.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_alpha/filter_0p5.py
filter_0p25,0,0,0.25,None,721221.0,250763.0,208731.0,261727.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_alpha/filter_0p25.py
filter_0,0,0,0,None,721135.0,250748.0,208675.0,261712.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_alpha/filter_0.py
mw_4,4,0,None,None,720207.0,289528.0,187112.0,243567.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_alpha/mw_4.py
filter_1p0,0,0,1.0,None,719514.0,250488.0,207220.0,261806.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_alpha/filter_1p0.py
iw_0p75,0,0.75,None,None,713094.0,293576.0,179885.0,239633.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_alpha/iw_0p75.py
take_8,0,0,None,8,693595.0,228699.0,217742.0,247154.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_alpha/take_8.py
iw_1p0,0,1.0,None,None,689511.0,293791.0,163752.0,231968.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_alpha/iw_1p0.py
mw_6,6,0,None,None,685392.0,289601.0,164644.0,231147.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_alpha/mw_6.py
