name,mw,i1w,i3w,total,d1,d2,d3,rc,path
i1m025_i3_m1,0,-0.25,-1,741046.0,273033.0,203926.0,264087.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_depth/i1m025_i3_m1.py
i1m025_i3_m1p5,0,-0.25,-1.5,740957.0,272534.0,203967.0,264456.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_depth/i1m025_i3_m1p5.py
i1m025_i3_m0p75,0,-0.25,-0.75,740914.0,273002.0,203658.0,264254.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_depth/i1m025_i3_m0p75.py
i1m025_i3_m0p5,0,-0.25,-0.5,740433.0,272550.0,203615.0,264268.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_depth/i1m025_i3_m0p5.py
i1m025_i3_m0p1,0,-0.25,-0.1,740000.0,272577.0,203371.0,264052.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_depth/i1m025_i3_m0p1.py
i1m025_i3_0p25,0,-0.25,0.25,739887.0,272310.0,203494.0,264083.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_depth/i1m025_i3_0p25.py
i1m025_i3_m0p25,0,-0.25,-0.25,739880.0,272506.0,203324.0,264050.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_depth/i1m025_i3_m0p25.py
i1m025_i3_0p1,0,-0.25,0.1,739812.0,272312.0,203371.0,264129.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_depth/i1m025_i3_0p1.py
i1m025_i3_0p5,0,-0.25,0.5,739412.0,272273.0,203472.0,263667.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_depth/i1m025_i3_0p5.py
mw0p5_i10p25_i30p5,0.5,0.25,0.5,739286.0,281847.0,198880.0,258559.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_depth/mw0p5_i10p25_i30p5.py
mw0p5_i10p25_i30p25,0.5,0.25,0.25,739259.0,281395.0,198616.0,259248.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_depth/mw0p5_i10p25_i30p25.py
i1m025_i3_0p75,0,-0.25,0.75,738875.0,272086.0,203502.0,263287.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_depth/i1m025_i3_0p75.py
mw0p5_i10p25_i3m0p25,0.5,0.25,-0.25,738654.0,281477.0,198389.0,258788.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_depth/mw0p5_i10p25_i3m0p25.py
