sym,i1,i3,total,d1,d2,d3,rc,path
VEV_5100,-0.75,0.5,755247.0,294936.0,200215.0,260096.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV5100_i1m0p75_i30p5.py
VEV_5100,-0.75,-2.0,755062.0,294615.0,200215.0,260232.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV5100_i1m0p75_i3m2p0.py
VEV_5100,-0.75,-1.5,755062.0,294615.0,200215.0,260232.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV5100_i1m0p75_i3m1p5.py
VEV_5100,-0.75,1.0,755016.0,294936.0,199984.0,260096.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV5100_i1m0p75_i31p0.py
VEV_5100,-0.75,-1.0,754977.0,294615.0,200215.0,260147.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV5100_i1m0p75_i3m1p0.py
VEV_5100,-0.75,-0.5,754977.0,294615.0,200215.0,260147.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV5100_i1m0p75_i3m0p5.py
VEV_5100,-0.75,0,754977.0,294615.0,200215.0,260147.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV5100_i1m0p75_i30.py
VEV_5100,-1.0,-0.5,753865.0,296835.0,196683.0,260347.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV5100_i1m1p0_i3m0p5.py
VEV_5100,-1.0,-1.0,753816.0,296786.0,196683.0,260347.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV5100_i1m1p0_i3m1p0.py
VEV_5100,-1.0,0.5,753755.0,296946.0,196462.0,260347.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV5100_i1m1p0_i30p5.py
VEV_5100,-1.0,1.0,753748.0,297092.0,196462.0,260194.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV5100_i1m1p0_i31p0.py
VEV_5100,-1.0,-2.0,753663.0,296786.0,196530.0,260347.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV5100_i1m1p0_i3m2p0.py
VEV_5100,-1.0,-1.5,753663.0,296786.0,196530.0,260347.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV5100_i1m1p0_i3m1p5.py
VEV_5100,-1.0,0,753644.0,296835.0,196462.0,260347.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV5100_i1m1p0_i30.py
VEV_5100,0.5,-2.0,753497.0,289639.0,203226.0,260632.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV5100_i10p5_i3m2p0.py
VEV_5100,-0.5,-2.0,753106.0,288503.0,202811.0,261792.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV5100_i1m0p5_i3m2p0.py
VEV_5100,0.5,-1.5,753074.0,289216.0,203226.0,260632.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV5100_i10p5_i3m1p5.py
VEV_5100,-0.5,-1.5,752949.0,288392.0,202811.0,261746.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV5100_i1m0p5_i3m1p5.py
VEV_5100,-0.5,-1.0,752915.0,288392.0,202811.0,261712.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV5100_i1m0p5_i3m1p0.py
VEV_5100,-0.5,-0.5,752864.0,288371.0,202811.0,261682.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV5100_i1m0p5_i3m0p5.py
VEV_5100,-0.5,0,752847.0,288354.0,202811.0,261682.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV5100_i1m0p5_i30.py
VEV_5100,0.5,-1.0,752695.0,288837.0,203226.0,260632.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV5100_i10p5_i3m1p0.py
VEV_5100,0.5,-0.5,752695.0,288837.0,203226.0,260632.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV5100_i10p5_i3m0p5.py
VEV_5100,-0.5,0.5,752677.0,288184.0,202811.0,261682.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV5100_i1m0p5_i30p5.py
VEV_5100,-0.5,1.0,752592.0,288184.0,202811.0,261597.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV5100_i1m0p5_i31p0.py
VEV_5100,0.5,0,752025.0,288167.0,203226.0,260632.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV5100_i10p5_i30.py
VEV_5100,0.5,0.5,751748.0,287890.0,203226.0,260632.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV5100_i10p5_i30p5.py
